a_no	u_no	a_follow	a_followdate	a_heart	a_heartdate	ti_no
153	46	8,1	20240824171444 			
154	50	28,0	20240824070016 			
155	45	4,1	20240824065305 			
156	42	46,1	20240823125916 			
157	12	2,1	20240823181941 			
158	11	47,0	20240824173215 			
159	13	6,0	20240823130128 			
160	33	58,0	20240823172203 			
161	56	9,1	20240824063122 			
162	2	49,1	20240823131403 			
163	39	42,0	20240824190602 			
164	17	10,1	20240824110912 			
165	43	8,1	20240824022941 			
166	46	48,0	20240823122735 			
167	44	19,1	20240824092451 			
168	37	37,1	20240823040506 			
169	39	8,0	20240823120224 			
170	48	58,0	20240823163323 			
171	1	35,1	20240823121103 			
172	6	22,0	20240823154931 			
173	58	5,1	20240823164734 			
174	33	11,0	20240824094650 			
175	43	24,0	20240824082803 			
176	12	38,0	20240824101044 			
177	51	15,1	20240823171806 			
178	21	47,0	20240824111259 			
179	59	9,1	20240823175756 			
180	26	34,0	20240824065426 			
181	5	35,0	20240823193956 			
182	44	39,1	20240823180312 			
183	53	37,0	20240824142521 			
184	41	37,0	20240824091304 			
185	27	31,1	20240823140614 			
186	54	42,0	20240823174233 			
187	24	18,1	20240823125216 			
188	44	52,1	20240824011453 			
189	14	41,1	20240823134522 			
190	15	2,1	20240823133740 			
191	45	24,1	20240824011307 			
192	25	36,1	20240824082924 			
193	7	45,0	20240824014559 			
194	26	7,0	20240823142811 			
195	21	54,1	20240823171122 			
196	1	20,1	20240824072045 			
197	58	35,0	20240824021959 			
198	25	59,0	20240823033223 			
199	51	48,1	20240823114112 			
200	15	30,1	20240823163442 			
201	11	54,0	20240824025259 			
202	43	44,0	20240823185935 			
203	52	46,1	20240823130134 			
204	14	33,0	20240823135354 			
205	11	13,0	20240824193444 			
206	10	49,1	20240824062538 			
207	36	48,1	20240824015330 			
208	34	14,0	20240823171351 			
209	5	1,1	20240823182217 	1,0	20240823182220 	62
210	25	55,0	20240824064956 			
211	21	36,1	20240823152445 			
212	31	31,1	20240823192612 			
213	52	60,1	20240824111152 			
214	48	44,1	20240824045212 			
215	36	39,1	20240823185109 			
216	22	45,1	20240823133247 			
217	1	51,0	20240823155459 			
218	32	7,0	20240823143812 			
219	37	18,1	20240823185715 			
220	2	33,1	20240823083319 			
221	7	57,1	20240823183720 			
222	48	24,1	20240824071148 			
223	6	54,1	20240824070418 			
