p_no	u_no	c_no	option1	option2	option3	option4	p_price	p_date
44	14	33	2	2	1	1	52000000	2022-07-23
45	12	60	4	3	1	1	42150000	2022-07-24
46	20	9	4	1	2	1	93150000	2022-07-25
47	21	41	1	1	1	2	73000000	2022-07-26
48	20	39	1	3	2	2	52000000	2022-07-27
49	42	6	4	3	2	1	54650000	2022-07-28
50	9	24	3	3	2	2	87700000	2022-07-29
51	23	16	1	1	1	1	30000000	2022-07-30
52	35	23	1	1	2	2	65500000	2022-07-31
53	27	32	1	2	1	2	34200000	2022-08-01
54	43	34	1	1	2	2	45500000	2022-08-02
55	44	32	2	2	1	2	35000000	2022-08-03
56	20	52	3	3	1	2	62200000	2022-08-04
57	23	45	3	3	1	2	68200000	2022-08-05
58	28	43	1	2	1	1	144200000	2022-08-06
59	15	44	2	3	2	2	117800000	2022-08-07
60	10	9	4	3	2	1	94650000	2022-08-08
61	13	3	4	2	1	1	61850000	2022-08-09
62	22	23	4	3	1	1	62150000	2022-08-10
63	15	65	2	2	2	2	47500000	2022-08-11
64	50	13	1	2	2	1	33700000	2022-08-12
65	37	65	1	1	2	1	42500000	2022-08-13
66	28	31	4	3	1	2	85150000	2022-08-14
67	13	61	1	3	2	2	31000000	2022-08-15
68	35	45	3	3	2	1	67700000	2022-08-16
69	41	42	4	1	1	2	86650000	2022-08-17
70	46	17	4	1	1	1	40650000	2022-08-18
71	6	61	4	1	2	1	27150000	2022-08-19
72	40	19	2	1	1	1	35800000	2022-08-20
73	11	65	3	3	1	1	42200000	2022-08-21
74	18	18	1	3	1	1	34500000	2022-08-22
75	1	53	4	1	2	1	77150000	2022-08-23
76	18	65	1	3	2	2	47000000	2022-08-24
77	39	48	4	2	2	2	57350000	2022-08-25
78	24	17	2	2	1	1	42000000	2022-08-26
79	27	33	2	2	1	1	52000000	2022-08-27
80	12	13	3	2	2	1	34400000	2022-08-28
81	37	44	3	1	1	2	113700000	2022-08-29
82	7	28	3	3	2	1	64700000	2022-08-30
83	18	18	3	2	2	1	37400000	2022-08-31
84	15	44	1	3	2	1	114000000	2022-09-01
85	28	30	3	3	2	2	72700000	2022-09-02
86	22	31	1	1	1	1	80000000	2022-09-03
87	43	47	3	3	1	1	193200000	2022-09-04
88	16	45	2	2	2	1	67500000	2022-09-05
89	32	11	2	3	2	1	24800000	2022-09-06
90	39	50	2	2	2	2	65500000	2022-09-07
91	27	50	3	1	1	2	61700000	2022-09-08
92	45	31	4	1	2	1	83150000	2022-09-09
93	46	20	3	1	1	1	30700000	2022-09-10
94	23	10	1	2	1	2	74200000	2022-09-11
95	12	43	2	2	1	1	145000000	2022-09-12
96	8	17	2	1	1	2	43800000	2022-09-13
97	45	36	2	2	1	2	30000000	2022-09-14
98	34	10	1	1	2	1	72500000	2022-09-15
99	46	50	4	1	2	1	61150000	2022-09-16
100	6	26	1	1	2	2	55500000	2022-09-17
101	8	21	3	2	2	2	47400000	2022-09-18
102	39	56	1	2	2	2	93700000	2022-09-19
103	19	18	1	3	2	1	37000000	2022-09-20
104	25	65	3	1	2	2	46200000	2022-09-21
105	33	53	3	3	1	1	76200000	2022-09-22
106	34	53	3	1	1	1	74700000	2022-09-23
107	22	30	4	2	2	1	69350000	2022-09-24
108	20	31	3	3	2	1	84700000	2022-09-25
109	48	26	3	2	2	1	54400000	2022-09-26
110	49	37	1	2	1	2	44200000	2022-09-27
111	39	23	1	3	2	2	67000000	2022-09-28
112	36	46	3	3	1	2	107200000	2022-09-29
113	1	15	1	2	2	1	28700000	2022-09-30
114	44	30	2	1	2	1	68300000	2022-10-01
115	8	34	4	3	1	1	42150000	2022-10-02
116	49	26	3	1	2	2	56200000	2022-10-03
117	37	52	4	2	1	2	61850000	2022-10-04
118	39	7	3	3	2	2	67700000	2022-10-05
119	18	37	2	3	2	1	44800000	2022-10-06
120	18	65	1	1	1	2	43000000	2022-10-07
121	2	34	4	3	1	2	45150000	2022-10-08
122	18	21	2	2	2	2	47500000	2022-10-09
123	7	57	1	2	2	1	77700000	2022-10-10
124	8	58	4	3	1	2	25150000	2022-10-11
125	29	61	3	3	2	2	31700000	2022-10-12
126	35	23	1	3	2	2	67000000	2022-10-13
127	22	24	3	3	1	2	85200000	2022-10-14
128	25	4	2	1	2	1	83300000	2022-10-15
129	10	37	4	1	2	2	46150000	2022-10-16
130	41	53	2	1	1	1	74800000	2022-10-17
131	40	22	3	1	2	2	56200000	2022-10-18
132	48	62	3	1	2	2	53200000	2022-10-19
133	14	41	4	3	2	2	77650000	2022-10-20
134	49	63	3	3	1	1	52200000	2022-10-21
135	23	55	1	1	2	1	81500000	2022-10-22
136	24	42	4	1	1	2	86650000	2022-10-23
137	7	65	2	1	1	1	40800000	2022-10-24
138	28	17	4	1	1	1	40650000	2022-10-25
139	50	44	1	2	2	2	116700000	2022-10-26
140	6	55	2	1	2	2	85300000	2022-10-27
141	33	62	3	1	2	2	53200000	2022-10-28
142	26	29	2	3	2	1	64800000	2022-10-29
143	34	8	2	3	2	2	82800000	2022-10-30
144	21	41	2	1	1	2	73800000	2022-10-31
145	47	40	1	1	1	1	65000000	2022-11-01
146	47	38	3	3	2	1	49700000	2022-11-02
147	20	20	4	3	1	1	32150000	2022-11-03
148	29	35	1	3	1	2	34500000	2022-11-04
149	29	42	3	3	1	1	85200000	2022-11-05
150	44	44	1	2	1	2	114200000	2022-11-06
151	33	38	3	3	2	2	52700000	2022-11-07
152	40	18	4	2	2	1	37350000	2022-11-08
153	42	54	3	3	1	2	88200000	2022-11-09
154	7	38	4	1	2	2	51150000	2022-11-10
155	27	44	1	1	2	2	115500000	2022-11-11
156	28	44	4	2	2	1	114350000	2022-11-12
157	35	54	3	3	1	2	88200000	2022-11-13
158	31	59	4	1	1	1	30650000	2022-11-14
159	47	40	3	3	2	2	72700000	2022-11-15
160	18	55	4	3	2	2	86650000	2022-11-16
161	16	22	1	2	1	2	54200000	2022-11-17
162	33	11	2	1	2	1	23300000	2022-11-18
163	8	59	3	1	1	2	33700000	2022-11-19
164	19	22	4	3	1	2	55150000	2022-11-20
165	39	23	4	2	1	2	64850000	2022-11-21
166	37	18	2	2	1	2	38000000	2022-11-22
167	48	8	4	3	2	2	82650000	2022-11-23
168	20	44	3	1	1	2	113700000	2022-11-24
169	10	10	4	1	2	1	73150000	2022-11-25
170	35	67	2	1	2	1	28300000	2022-11-26
171	16	58	3	2	1	2	24900000	2022-11-27
172	26	57	3	2	2	2	81400000	2022-11-28
173	13	9	3	1	2	1	93200000	2022-11-29
174	19	10	1	3	1	2	74500000	2022-11-30
175	28	52	2	1	2	2	63300000	2022-12-01
176	12	27	1	3	2	2	87000000	2022-12-02
177	33	29	1	3	2	1	64000000	2022-12-03
178	22	37	3	3	2	1	44700000	2022-12-04
179	34	57	3	1	2	2	80200000	2022-12-05
180	40	46	4	2	2	2	109350000	2022-12-06
181	40	31	2	1	1	2	83800000	2022-12-07
182	43	45	4	3	1	1	65150000	2022-12-08
183	2	45	4	2	1	1	64850000	2022-12-09
184	7	20	2	1	1	2	33800000	2022-12-10
185	1	53	2	2	1	1	76000000	2022-12-11
186	2	67	4	3	1	1	27150000	2022-12-12
187	6	10	3	2	2	2	77400000	2022-12-13
188	14	17	1	3	1	2	44500000	2022-12-14
189	1	39	3	2	2	2	52400000	2022-12-15
190	26	16	2	2	1	2	35000000	2022-12-16
191	5	60	2	1	2	2	46300000	2022-12-17
192	3	64	4	3	1	1	42150000	2022-12-18
193	42	2	4	3	1	1	72150000	2022-12-19
194	26	38	3	3	1	1	47200000	2022-12-20
195	46	10	1	2	1	1	71200000	2022-12-21
196	28	33	4	2	2	2	57350000	2022-12-22
197	6	55	3	2	1	2	83900000	2022-12-23
198	11	67	3	1	1	2	28700000	2022-12-24
199	16	8	1	1	1	1	75000000	2022-12-25
200	9	7	1	3	1	1	61500000	2022-12-26
201	14	43	4	1	2	2	149150000	2022-12-27
202	44	63	1	3	2	1	54000000	2022-12-28
203	7	18	4	1	2	1	36150000	2022-12-29
204	29	65	1	1	2	2	45500000	2022-12-30
205	2	14	3	2	1	1	36900000	2022-12-31
206	26	7	3	3	1	1	62200000	2023-01-01
207	5	36	3	3	2	1	29700000	2023-01-02
208	23	66	4	2	1	1	31850000	2023-01-03
209	17	10	2	1	1	1	70800000	2023-01-04
210	31	20	1	3	1	2	34500000	2023-01-05
211	3	31	4	2	2	1	84350000	2023-01-06
212	32	56	2	3	1	1	89300000	2023-01-07
213	49	64	2	3	1	2	45300000	2023-01-08
214	25	9	4	3	1	1	92150000	2023-01-09
215	7	21	2	2	1	1	42000000	2023-01-10
216	20	48	3	2	1	1	51900000	2023-01-11
217	1	23	2	1	1	2	63800000	2023-01-12
218	40	13	2	1	1	1	30800000	2023-01-13
219	2	45	1	2	1	2	67200000	2023-01-14
220	43	61	4	1	1	2	27650000	2023-01-15
221	11	36	3	3	2	2	32700000	2023-01-16
222	24	28	4	1	2	2	66150000	2023-01-17
223	45	60	4	2	2	1	44350000	2023-01-18
224	8	34	3	1	1	1	40700000	2023-01-19
225	35	62	4	3	1	2	52150000	2023-01-20
226	35	3	2	1	1	1	60800000	2023-01-21
227	39	26	4	1	2	1	53150000	2023-01-22
228	13	31	2	2	2	2	87500000	2023-01-23
229	4	50	3	2	1	2	62900000	2023-01-24
230	22	53	3	2	1	2	78900000	2023-01-25
231	42	36	4	2	1	2	29850000	2023-01-26
232	50	6	3	1	1	1	50700000	2023-01-27
233	26	36	1	1	1	1	25000000	2023-01-28
234	6	33	1	2	2	1	53700000	2023-01-29
235	43	37	4	2	1	2	44850000	2023-01-30
236	47	8	2	2	1	1	77000000	2023-01-31
237	4	9	1	2	1	2	94200000	2023-02-01
238	37	42	3	3	2	2	90700000	2023-02-02
239	4	20	3	2	1	2	34900000	2023-02-03
240	8	53	4	3	1	1	76150000	2023-02-04
241	40	45	2	3	2	2	70800000	2023-02-05
242	17	64	4	2	1	1	41850000	2023-02-06
243	36	39	4	3	2	2	52650000	2023-02-07
244	16	14	1	2	1	1	36200000	2023-02-08
245	22	3	4	1	1	2	63650000	2023-02-09
246	31	53	1	3	1	2	78500000	2023-02-10
247	31	28	1	2	2	2	66700000	2023-02-11
248	35	65	3	1	2	1	43200000	2023-02-12
249	31	64	4	2	1	2	44850000	2023-02-13
250	15	32	4	2	2	2	37350000	2023-02-14
251	28	37	1	1	1	1	40000000	2023-02-15
252	22	27	3	2	1	1	81900000	2023-02-16
253	30	58	1	2	2	2	26700000	2023-02-17
254	46	44	1	2	1	1	111200000	2023-02-18
255	8	34	2	2	1	2	45000000	2023-02-19
256	44	43	3	2	2	1	147400000	2023-02-20
257	41	9	3	2	1	2	94900000	2023-02-21
258	12	65	1	1	1	2	43000000	2023-02-22
259	23	48	3	2	2	1	54400000	2023-02-23
260	25	8	1	1	1	2	78000000	2023-02-24
261	10	10	4	2	1	1	71850000	2023-02-25
262	2	22	4	3	2	1	54650000	2023-02-26
263	11	45	1	3	1	2	67500000	2023-02-27
264	30	46	4	1	2	1	105150000	2023-02-28
265	22	32	2	3	2	1	34800000	2023-03-01
266	37	64	1	1	1	2	43000000	2023-03-02
267	13	25	1	1	1	1	40000000	2023-03-03
268	11	64	3	1	2	1	43200000	2023-03-04
269	7	25	4	2	2	1	44350000	2023-03-05
270	38	58	3	2	2	1	24400000	2023-03-06
271	23	4	2	1	1	1	80800000	2023-03-07
272	24	9	2	2	2	1	94500000	2023-03-08
273	25	62	2	3	2	1	51800000	2023-03-09
274	9	63	3	2	2	2	57400000	2023-03-10
275	20	4	4	3	2	2	87650000	2023-03-11
276	18	1	2	2	2	1	54500000	2023-03-12
277	33	65	3	2	1	2	44900000	2023-03-13
278	23	21	4	1	1	2	43650000	2023-03-14
279	22	16	2	2	2	1	34500000	2023-03-15
280	19	32	1	1	2	2	35500000	2023-03-16
281	20	57	4	1	2	1	77150000	2023-03-17
282	29	12	4	1	1	1	25650000	2023-03-18
283	50	24	2	3	1	1	82300000	2023-03-19
284	38	29	4	3	2	1	64650000	2023-03-20
285	38	11	1	3	1	2	24500000	2023-03-21
286	38	30	1	1	2	2	70500000	2023-03-22
287	28	37	4	2	2	1	44350000	2023-03-23
288	5	39	4	1	2	1	48150000	2023-03-24
289	14	31	2	1	1	1	80800000	2023-03-25
290	5	51	2	2	2	1	113500000	2023-03-26
291	15	67	1	1	1	1	25000000	2023-03-27
292	24	48	3	2	1	2	54900000	2023-03-28
293	29	28	3	2	1	1	61900000	2023-03-29
294	21	15	2	2	1	1	27000000	2023-03-30
295	36	28	3	2	2	2	67400000	2023-03-31
296	30	59	3	3	2	1	34700000	2023-04-01
297	37	32	3	3	1	2	35200000	2023-04-02
298	32	34	2	1	2	1	43300000	2023-04-03
299	5	2	1	3	1	2	74500000	2023-04-04
300	45	21	4	3	1	2	45150000	2023-04-05
301	6	63	2	1	2	2	56300000	2023-04-06
302	21	60	2	3	2	1	44800000	2023-04-07
303	47	32	4	1	1	2	33650000	2023-04-08
304	2	25	1	2	1	1	41200000	2023-04-09
305	7	59	2	3	2	2	37800000	2023-04-10
306	41	20	4	1	1	1	30650000	2023-04-11
307	9	64	2	3	1	2	45300000	2023-04-12
308	48	20	3	3	1	2	35200000	2023-04-13
309	17	32	4	1	1	2	33650000	2023-04-14
310	7	15	1	1	2	1	27500000	2023-04-15
311	1	37	2	3	2	1	44800000	2023-04-16
312	16	37	3	1	1	1	40700000	2023-04-17
313	45	64	1	1	2	1	42500000	2023-04-18
314	7	15	4	1	1	2	28650000	2023-04-19
315	42	48	4	3	1	1	52150000	2023-04-20
316	38	33	4	1	1	1	50650000	2023-04-21
317	41	35	4	2	2	2	37350000	2023-04-22
318	22	50	2	1	2	2	64300000	2023-04-23
319	2	14	1	1	2	2	40500000	2023-04-24
320	33	25	1	3	1	1	41500000	2023-04-25
321	23	8	3	2	2	1	79400000	2023-04-26
322	26	41	4	3	2	1	74650000	2023-04-27
323	28	20	1	2	1	2	34200000	2023-04-28
324	41	64	2	3	2	1	44800000	2023-04-29
325	48	4	2	2	2	1	84500000	2023-04-30
326	18	34	1	2	1	1	41200000	2023-05-01
327	32	49	2	2	1	1	45000000	2023-05-02
328	33	52	1	1	1	1	57000000	2023-05-03
329	45	62	1	1	1	1	47000000	2023-05-04
330	25	60	2	3	2	1	44800000	2023-05-05
331	18	52	1	3	2	1	61000000	2023-05-06
332	1	58	3	2	2	2	27400000	2023-05-07
333	37	41	2	1	1	1	70800000	2023-05-08
334	25	19	3	1	1	2	38700000	2023-05-09
335	50	8	4	2	1	2	79850000	2023-05-10
336	2	51	2	3	1	1	111300000	2023-05-11
337	49	47	3	2	2	1	195400000	2023-05-12
338	27	9	1	3	2	2	97000000	2023-05-13
339	18	62	1	3	2	1	51000000	2023-05-14
340	38	6	3	2	1	1	51900000	2023-05-15
341	22	7	1	3	2	1	64000000	2023-05-16
342	8	1	2	3	2	1	54800000	2023-05-17
343	7	58	2	3	1	1	22300000	2023-05-18
344	11	28	4	1	1	1	60650000	2023-05-19
345	11	41	1	2	1	2	74200000	2023-05-20
346	7	32	1	2	2	1	33700000	2023-05-21
347	49	18	4	3	1	2	38150000	2023-05-22
348	13	51	3	3	1	1	111200000	2023-05-23
349	18	2	4	3	2	1	74650000	2023-05-24
350	32	63	2	1	1	1	50800000	2023-05-25
351	20	21	1	1	1	1	40000000	2023-05-26
352	34	56	1	2	1	2	91200000	2023-05-27
353	38	10	1	1	2	1	72500000	2023-05-28
354	8	25	4	2	2	1	44350000	2023-05-29
355	50	3	1	1	2	1	62500000	2023-05-30
356	3	63	4	1	2	1	53150000	2023-05-31
357	3	37	2	2	1	2	45000000	2023-06-01
358	17	47	1	1	1	2	194000000	2023-06-02
359	41	67	4	1	2	1	28150000	2023-06-03
360	20	20	1	1	2	1	32500000	2023-06-04
361	47	35	4	1	1	1	30650000	2023-06-05
362	20	28	3	2	2	1	64400000	2023-06-06
363	15	13	4	3	1	1	32150000	2023-06-07
364	40	58	1	1	1	1	20000000	2023-06-08
365	6	53	4	1	2	1	77150000	2023-06-09
366	8	33	4	2	2	1	54350000	2023-06-10
367	6	4	1	1	2	2	85500000	2023-06-11
368	11	38	3	2	2	2	52400000	2023-06-12
369	27	17	2	3	2	1	44800000	2023-06-13
370	47	41	4	2	1	2	74850000	2023-06-14
371	34	22	1	2	1	1	51200000	2023-06-15
372	23	53	2	1	1	1	74800000	2023-06-16
373	7	44	4	3	1	2	115150000	2023-06-17
374	24	48	4	1	1	1	50650000	2023-06-18
375	5	3	3	1	2	1	63200000	2023-06-19
376	5	66	2	2	2	2	37500000	2023-06-20
377	1	36	3	2	2	1	29400000	2023-06-21
378	47	24	1	2	1	1	81200000	2023-06-22
379	37	65	3	1	1	2	43700000	2023-06-23
380	18	36	4	3	1	1	27150000	2023-06-24
381	16	32	2	1	1	2	33800000	2023-06-25
382	36	52	2	2	2	1	61500000	2023-06-26
383	4	54	2	3	1	2	88300000	2023-06-27
384	31	24	4	2	1	2	84850000	2023-06-28
385	23	46	4	1	2	1	105150000	2023-06-29
386	41	29	4	2	1	2	64850000	2023-06-30
387	23	37	3	1	1	2	43700000	2023-07-01
388	32	57	4	3	2	1	78650000	2023-07-02
389	32	65	2	1	2	2	46300000	2023-07-03
390	20	6	2	2	1	2	55000000	2023-07-04
391	36	26	3	2	1	1	51900000	2023-07-05
392	45	63	4	2	1	2	54850000	2023-07-06
393	47	30	3	2	1	1	66900000	2023-07-07
394	23	50	4	1	1	2	61650000	2023-07-08
395	8	60	4	2	1	1	41850000	2023-07-09
396	31	49	3	1	1	2	46700000	2023-07-10
397	11	30	4	1	2	1	68150000	2023-07-11
398	33	47	2	3	2	2	198800000	2023-07-12
399	41	42	2	2	1	1	85000000	2023-07-13
400	50	8	4	1	2	2	81150000	2023-07-14
401	17	41	4	3	2	2	77650000	2023-07-15
402	28	10	4	1	2	2	76150000	2023-07-16
403	34	62	4	2	1	2	51850000	2023-07-17
404	15	56	1	1	2	2	92500000	2023-07-18
405	2	12	1	2	2	2	31700000	2023-07-19
406	22	50	3	2	2	1	62400000	2023-07-20
407	36	53	4	1	1	1	74650000	2023-07-21
408	45	17	4	2	1	2	44850000	2023-07-22
409	31	50	1	2	1	1	59200000	2023-07-23
410	1	10	2	3	2	2	77800000	2023-07-24
411	15	13	3	2	2	1	34400000	2023-07-25
412	26	36	1	1	2	1	27500000	2023-07-26
413	28	58	3	3	1	2	25200000	2023-07-27
414	8	2	4	3	1	1	72150000	2023-07-28
415	7	46	2	3	2	1	106800000	2023-07-29
416	3	12	2	3	2	1	29800000	2023-07-30
417	22	53	2	2	2	1	78500000	2023-07-31
418	16	31	3	3	1	2	85200000	2023-08-01
419	4	40	2	1	2	2	71300000	2023-08-02
420	6	21	3	2	2	2	47400000	2023-08-03
421	28	67	1	2	1	1	26200000	2023-08-04
422	8	7	1	3	2	1	64000000	2023-08-05
423	25	48	3	2	1	2	54900000	2023-08-06
424	32	61	4	2	2	2	31350000	2023-08-07
425	10	5	3	3	2	1	44700000	2023-08-08
426	20	7	1	3	1	1	61500000	2023-08-09
427	3	21	4	2	2	2	47350000	2023-08-10
428	30	35	3	1	1	1	30700000	2023-08-11
429	13	33	2	1	2	1	53300000	2023-08-12
430	8	2	1	1	1	2	73000000	2023-08-13
431	35	46	3	2	2	1	106400000	2023-08-14
432	23	23	1	1	2	1	62500000	2023-08-15
433	44	28	2	2	2	2	67500000	2023-08-16
434	46	16	2	3	1	1	32300000	2023-08-17
435	49	55	1	3	2	1	83000000	2023-08-18
436	17	44	4	3	2	2	117650000	2023-08-19
437	16	60	2	3	1	1	42300000	2023-08-20
438	3	51	2	1	2	2	115300000	2023-08-21
439	29	40	1	2	1	2	69200000	2023-08-22
440	9	3	1	3	2	1	64000000	2023-08-23
441	7	40	1	3	2	2	72000000	2023-08-24
442	28	52	4	2	1	2	61850000	2023-08-25
443	4	61	2	1	1	2	27800000	2023-08-26
444	18	2	1	1	1	1	70000000	2023-08-27
445	30	37	3	2	1	2	44900000	2023-08-28
446	20	27	4	3	1	2	85150000	2023-08-29
447	25	10	2	2	2	2	77500000	2023-08-30
448	37	48	2	2	1	1	52000000	2023-08-31
449	6	21	2	2	1	2	45000000	2023-09-01
450	47	40	3	2	2	1	69400000	2023-09-02
451	32	63	4	3	2	1	54650000	2023-09-03
452	23	67	2	1	2	2	31300000	2023-09-04
453	8	59	1	2	2	1	33700000	2023-09-05
454	35	9	3	2	1	2	94900000	2023-09-06
455	11	57	1	1	1	2	77000000	2023-09-07
456	32	2	2	3	1	1	72300000	2023-09-08
457	6	25	2	3	1	1	42300000	2023-09-09
458	5	44	1	2	1	1	111200000	2023-09-10
459	38	56	4	2	2	2	94350000	2023-09-11
460	31	18	2	3	1	1	35300000	2023-09-12
461	37	4	2	1	1	2	83800000	2023-09-13
462	37	58	1	3	1	1	21500000	2023-09-14
463	5	14	4	3	2	1	39650000	2023-09-15
464	49	28	2	1	1	1	60800000	2023-09-16
465	18	59	3	1	2	2	36200000	2023-09-17
466	41	14	2	3	2	2	42800000	2023-09-18
467	41	53	3	2	1	1	75900000	2023-09-19
468	48	15	4	1	2	2	31150000	2023-09-20
469	39	15	4	1	1	2	28650000	2023-09-21
470	49	54	2	3	2	2	90800000	2023-09-22
471	17	23	2	2	2	2	67500000	2023-09-23
472	45	9	4	2	1	1	91850000	2023-09-24
473	43	65	2	2	2	2	47500000	2023-09-25
474	7	55	1	1	1	2	82000000	2023-09-26
475	29	31	1	2	2	2	86700000	2023-09-27
476	18	20	3	1	1	1	30700000	2023-09-28
477	39	51	2	2	2	2	116500000	2023-09-29
478	20	63	1	1	1	2	53000000	2023-09-30
479	13	55	1	2	2	2	85700000	2023-10-01
480	1	10	4	3	1	1	72150000	2023-10-02
481	9	37	3	3	2	2	47700000	2023-10-03
482	16	23	2	3	1	2	65300000	2023-10-04
483	7	26	3	3	2	2	57700000	2023-10-05
484	7	41	2	1	1	2	73800000	2023-10-06
485	4	49	4	3	2	1	47650000	2023-10-07
486	17	3	1	1	1	1	60000000	2023-10-08
487	29	39	2	2	2	1	49500000	2023-10-09
488	44	22	1	2	1	1	51200000	2023-10-10
489	27	24	1	2	1	1	81200000	2023-10-11
490	26	54	3	1	2	1	86200000	2023-10-12
491	41	34	3	3	1	2	45200000	2023-10-13
492	6	33	2	2	1	1	52000000	2023-10-14
493	32	15	1	1	2	2	30500000	2023-10-15
494	23	38	3	3	2	1	49700000	2023-10-16
495	9	4	1	1	2	2	85500000	2023-10-17
496	50	16	2	1	2	2	36300000	2023-10-18
497	31	1	3	2	2	1	54400000	2023-10-19
498	11	8	3	1	1	1	75700000	2023-10-20
499	15	30	3	2	2	1	69400000	2023-10-21
500	31	38	4	3	2	1	49650000	2023-10-22
501	2	50	1	2	2	1	61700000	2023-10-23
502	5	23	4	1	2	1	63150000	2023-10-24
503	41	17	3	3	2	2	47700000	2023-10-25
504	4	53	2	1	2	2	80300000	2023-10-26
505	21	13	2	3	2	2	37800000	2023-10-27
506	24	9	3	1	1	1	90700000	2023-10-28
507	11	57	1	1	2	1	76500000	2023-10-29
508	31	47	2	2	2	1	195500000	2023-10-30
509	33	6	2	2	1	2	55000000	2023-10-31
510	43	62	1	3	2	1	51000000	2023-11-01
511	25	56	4	3	2	1	91650000	2023-11-02
512	31	25	2	3	1	2	45300000	2023-11-03
513	35	67	3	2	1	2	29900000	2023-11-04
514	16	42	4	1	1	1	83650000	2023-11-05
515	27	1	3	3	2	2	57700000	2023-11-06
516	44	15	4	3	1	1	27150000	2023-11-07
517	46	34	3	1	2	2	46200000	2023-11-08
518	16	66	2	2	2	1	34500000	2023-11-09
519	5	22	1	1	1	1	50000000	2023-11-10
520	6	55	1	2	2	1	82700000	2023-11-11
521	49	23	1	3	2	2	67000000	2023-11-12
522	28	39	1	3	1	2	49500000	2023-11-13
523	37	52	1	1	2	2	62500000	2023-11-14
524	9	6	2	2	2	1	54500000	2023-11-15
525	33	33	2	1	1	1	50800000	2023-11-16
526	35	13	1	1	1	2	33000000	2023-11-17
527	4	1	4	1	2	2	56150000	2023-11-18
528	25	14	4	2	2	1	39350000	2023-11-19
529	14	47	4	2	1	1	192850000	2023-11-20
530	40	45	1	1	1	2	66000000	2023-11-21
531	25	20	2	2	2	1	34500000	2023-11-22
532	16	10	2	2	1	2	75000000	2023-11-23
533	8	38	4	3	1	2	50150000	2023-11-24
534	7	21	3	3	1	2	45200000	2023-11-25
535	1	51	4	3	1	2	114150000	2023-11-26
536	38	31	2	2	2	1	84500000	2023-11-27
537	9	38	2	3	2	2	52800000	2023-11-28
538	13	37	1	1	2	1	42500000	2023-11-29
539	36	9	3	3	1	1	92200000	2023-11-30
540	48	14	4	2	2	1	39350000	2023-12-01
541	6	48	4	2	1	2	54850000	2023-12-02
542	27	65	2	2	1	1	42000000	2023-12-03
543	23	36	2	2	2	1	29500000	2023-12-04
544	41	51	3	3	2	1	113700000	2023-12-05
545	35	5	4	1	1	1	40650000	2023-12-06
546	16	62	3	2	1	2	51900000	2023-12-07
547	34	8	3	1	1	1	75700000	2023-12-08
548	4	23	4	3	1	2	65150000	2023-12-09
549	9	51	3	2	1	1	110900000	2023-12-10
550	35	43	1	1	1	2	146000000	2023-12-11
551	15	48	2	2	1	1	52000000	2023-12-12
552	34	43	2	2	2	2	150500000	2023-12-13
553	50	45	2	2	2	2	70500000	2023-12-14
554	41	6	1	2	2	2	56700000	2023-12-15
555	47	53	2	2	1	1	76000000	2023-12-16
556	30	46	1	3	2	2	109000000	2023-12-17
557	24	24	4	3	1	2	85150000	2023-12-18
