S_No	DepartureDate	T_No	DepartureTime	Gate	airNo
84	2024-09-03	19	1:00	109	4812
85	2024-09-03	21	2:00	111	4433
86	2024-09-03	21	18:00	114	5883
87	2024-09-03	23	12:00	129	6689
88	2024-09-03	26	21:00	107	9100
89	2024-09-03	27	5:00	122	7817
90	2024-09-03	30	15:00	129	1952
91	2024-09-03	31	1:00	101	1503
92	2024-09-03	32	8:00	123	2228
93	2024-09-03	34	6:00	104	3909
94	2024-09-04	1	8:00	104	7257
95	2024-09-04	2	17:00	128	4241
96	2024-09-04	2	20:00	114	2127
97	2024-09-04	3	20:00	128	6233
98	2024-09-04	4	20:00	114	6349
99	2024-09-04	5	7:00	123	6754
100	2024-09-04	6	19:00	128	5968
101	2024-09-04	7	9:00	126	7605
102	2024-09-04	8	7:00	105	3400
103	2024-09-04	8	8:00	105	3905
104	2024-09-04	9	3:00	129	2296
105	2024-09-04	11	10:00	102	3785
106	2024-09-04	11	17:00	128	4899
107	2024-09-04	14	9:00	117	4974
108	2024-09-04	16	5:00	107	5439
109	2024-09-04	16	11:00	111	7910
110	2024-09-04	16	13:00	127	4748
111	2024-09-04	16	16:00	115	2123
112	2024-09-04	17	4:00	103	7800
113	2024-09-04	17	12:00	115	5113
114	2024-09-04	18	5:00	129	7713
115	2024-09-04	18	10:00	104	3659
116	2024-09-04	18	22:00	129	1356
117	2024-09-04	20	8:00	113	9546
118	2024-09-04	21	7:00	117	2565
119	2024-09-04	21	21:00	117	5032
120	2024-09-04	22	19:00	106	3407
121	2024-09-04	22	20:00	123	9592
122	2024-09-04	25	7:00	114	5184
123	2024-09-04	25	14:00	123	1414
124	2024-09-04	25	20:00	110	4052
125	2024-09-04	27	13:00	113	5638
126	2024-09-04	28	13:00	113	2278
127	2024-09-04	28	18:00	120	4367
128	2024-09-04	28	22:00	117	2981
129	2024-09-04	31	1:00	122	9923
130	2024-09-04	31	13:00	122	2460
131	2024-09-04	32	17:00	103	5392
132	2024-09-04	32	18:00	107	6864
133	2024-09-04	33	11:00	126	8054
134	2024-09-04	33	21:00	111	2285
135	2024-09-04	34	18:00	108	9597
136	2024-09-05	2	17:00	115	3712
137	2024-09-05	2	21:00	119	1972
138	2024-09-05	3	6:00	122	4385
139	2024-09-05	3	15:00	117	8990
140	2024-09-05	8	2:00	102	3414
141	2024-09-05	10	11:00	109	7467
142	2024-09-05	10	13:00	109	9761
143	2024-09-05	11	2:00	108	4882
144	2024-09-05	11	4:00	130	9487
145	2024-09-05	11	21:00	107	9771
146	2024-09-05	12	8:00	102	4907
147	2024-09-05	13	15:00	117	9528
148	2024-09-05	15	22:00	104	3452
149	2024-09-05	16	7:00	125	5530
150	2024-09-05	17	3:00	116	5758
151	2024-09-05	18	7:00	111	9285
152	2024-09-05	20	13:00	101	4164
153	2024-09-05	20	15:00	108	5085
154	2024-09-05	21	4:00	129	2537
155	2024-09-05	21	4:00	101	9191
156	2024-09-05	22	19:00	125	3533
157	2024-09-05	23	11:00	125	1791
158	2024-09-05	23	21:00	111	3022
159	2024-09-05	23	22:00	130	6229
160	2024-09-05	26	17:00	118	7539
161	2024-09-05	26	20:00	129	6121
162	2024-09-05	27	2:00	104	8570
163	2024-09-05	27	13:00	107	1641
164	2024-09-05	30	12:00	101	6692
165	2024-09-05	31	6:00	125	3974
166	2024-09-05	31	13:00	110	4470
167	2024-09-05	32	1:00	105	3129
168	2024-09-05	32	10:00	112	8333
169	2024-09-05	33	3:00	123	4472
170	2024-09-05	33	11:00	115	2711
171	2024-09-05	33	12:00	129	6547
172	2024-09-05	34	6:00	115	8457
173	2024-09-06	1	18:00	113	6627
174	2024-09-06	2	2:00	110	5105
175	2024-09-06	3	12:00	112	3632
176	2024-09-06	3	13:00	125	3846
177	2024-09-06	4	13:00	124	9389
178	2024-09-06	6	8:00	109	3961
179	2024-09-06	7	20:00	114	3818
180	2024-09-06	7	23:00	109	8182
181	2024-09-06	8	2:00	112	6741
182	2024-09-06	8	23:00	107	1633
183	2024-09-06	10	12:00	108	8562
184	2024-09-06	12	1:00	119	2895
185	2024-09-06	12	10:00	118	4944
186	2024-09-06	13	15:00	119	1469
187	2024-09-06	14	5:00	111	6179
188	2024-09-06	14	20:00	108	7077
189	2024-09-06	14	21:00	104	9973
190	2024-09-06	14	23:00	118	8843
191	2024-09-06	15	9:00	118	8339
192	2024-09-06	16	7:00	112	7592
193	2024-09-06	16	12:00	128	7678
194	2024-09-06	17	4:00	126	3893
195	2024-09-06	18	17:00	105	3686
196	2024-09-06	19	4:00	128	4899
197	2024-09-06	19	5:00	111	6168
198	2024-09-06	19	11:00	125	9168
199	2024-09-06	20	16:00	112	7896
200	2024-09-06	22	11:00	106	2078
201	2024-09-06	24	8:00	107	4793
202	2024-09-06	24	12:00	114	5716
203	2024-09-06	26	19:00	120	6276
204	2024-09-06	27	14:00	117	7451
205	2024-09-06	27	21:00	104	3748
206	2024-09-06	28	15:00	103	8820
207	2024-09-06	28	18:00	130	5796
208	2024-09-06	29	8:00	119	9884
209	2024-09-06	29	16:00	107	9324
210	2024-09-06	30	9:00	125	3053
211	2024-09-06	31	11:00	118	3023
212	2024-09-06	33	16:00	111	5051
213	2024-09-07	1	7:00	129	2880
214	2024-09-07	1	9:00	109	8477
215	2024-09-07	1	19:00	112	8866
216	2024-09-07	2	21:00	102	9129
217	2024-09-07	3	19:00	128	4647
218	2024-09-07	3	20:00	109	5574
219	2024-09-07	4	22:00	108	4090
220	2024-09-07	7	17:00	109	6316
221	2024-09-07	8	4:00	102	7210
222	2024-09-07	11	1:00	129	9147
223	2024-09-07	11	11:00	123	7424
224	2024-09-07	12	7:00	119	2034
225	2024-09-07	12	15:00	102	3805
226	2024-09-07	14	18:00	104	6636
227	2024-09-07	16	6:00	122	6767
228	2024-09-07	18	16:00	129	8422
229	2024-09-07	18	23:00	116	5625
230	2024-09-07	19	8:00	119	5074
231	2024-09-07	19	22:00	123	4578
232	2024-09-07	20	1:00	117	4947
233	2024-09-07	20	2:00	125	9229
234	2024-09-07	20	19:00	110	5069
235	2024-09-07	21	12:00	119	4980
236	2024-09-07	21	22:00	121	7798
237	2024-09-07	23	18:00	106	7249
238	2024-09-07	24	12:00	111	4713
239	2024-09-07	25	17:00	112	4864
240	2024-09-07	25	18:00	117	9709
241	2024-09-07	25	23:00	116	8409
242	2024-09-07	26	2:00	130	2948
243	2024-09-07	29	4:00	126	1752
244	2024-09-07	29	15:00	107	8454
245	2024-09-07	31	16:00	117	5519
246	2024-09-07	32	21:00	106	1278
247	2024-09-07	33	20:00	112	1838
248	2024-09-08	1	21:00	106	6792
249	2024-09-08	1	21:00	122	9579
250	2024-09-08	2	21:00	102	7425
251	2024-09-08	3	3:00	118	2580
252	2024-09-08	3	14:00	110	3757
253	2024-09-08	3	14:00	117	9589
254	2024-09-08	3	17:00	130	8008
255	2024-09-08	4	13:00	114	3987
256	2024-09-08	4	15:00	119	1740
257	2024-09-08	5	4:00	109	3467
258	2024-09-08	5	15:00	108	8692
259	2024-09-08	6	17:00	117	4833
260	2024-09-08	9	12:00	129	5996
261	2024-09-08	10	19:00	119	7155
262	2024-09-08	11	9:00	119	1318
263	2024-09-08	12	12:00	122	8217
264	2024-09-08	14	3:00	107	6950
265	2024-09-08	14	5:00	129	9756
266	2024-09-08	16	15:00	104	8123
267	2024-09-08	17	2:00	105	9925
268	2024-09-08	17	22:00	108	7309
269	2024-09-08	17	22:00	121	4532
270	2024-09-08	18	2:00	122	8140
271	2024-09-08	20	9:00	111	4978
272	2024-09-08	21	13:00	124	3470
273	2024-09-08	21	23:00	125	2900
274	2024-09-08	22	1:00	117	9719
275	2024-09-08	23	1:00	127	1491
276	2024-09-08	23	22:00	117	9190
277	2024-09-08	24	10:00	102	3349
278	2024-09-08	27	11:00	110	9984
279	2024-09-08	28	21:00	125	3003
280	2024-09-08	29	3:00	104	2278
281	2024-09-08	29	23:00	125	8413
282	2024-09-08	32	12:00	126	9127
283	2024-09-08	33	12:00	117	4784
284	2024-09-08	33	12:00	102	9587
285	2024-09-08	34	21:00	124	9018
286	2024-09-09	1	12:00	124	6547
287	2024-09-09	3	11:00	115	4217
288	2024-09-09	3	21:00	108	1901
289	2024-09-09	4	4:00	117	4029
290	2024-09-09	4	20:00	101	3185
291	2024-09-09	5	22:00	130	8361
292	2024-09-09	9	11:00	107	4489
293	2024-09-09	10	9:00	127	6124
294	2024-09-09	10	17:00	126	4096
295	2024-09-09	11	11:00	130	6794
296	2024-09-09	11	12:00	113	6129
297	2024-09-09	11	19:00	129	8411
298	2024-09-09	12	5:00	112	2608
299	2024-09-09	12	18:00	115	2371
300	2024-09-09	17	8:00	108	4157
301	2024-09-09	17	15:00	107	1975
302	2024-09-09	18	8:00	118	7930
303	2024-09-09	21	9:00	110	9206
304	2024-09-09	21	20:00	105	1521
305	2024-09-09	22	8:00	107	4132
306	2024-09-09	22	9:00	125	1490
307	2024-09-09	23	14:00	107	8147
308	2024-09-09	24	5:00	108	2348
309	2024-09-09	25	20:00	108	5863
310	2024-09-09	27	3:00	107	9911
311	2024-09-09	27	18:00	121	7325
312	2024-09-09	29	8:00	112	6987
313	2024-09-09	29	13:00	108	2763
314	2024-09-09	30	6:00	128	5353
315	2024-09-09	32	10:00	118	4962
316	2024-09-09	33	4:00	126	2525
317	2024-09-09	33	5:00	101	1982
318	2024-09-09	33	7:00	108	2328
319	2024-09-10	1	7:00	126	3419
320	2024-09-10	3	1:00	129	5030
321	2024-09-10	3	12:00	130	5384
322	2024-09-10	3	15:00	112	5160
323	2024-09-10	4	15:00	119	6690
324	2024-09-10	5	1:00	101	5051
325	2024-09-10	7	1:00	127	5692
326	2024-09-10	8	1:00	123	7942
327	2024-09-10	8	20:00	118	4552
328	2024-09-10	9	2:00	119	4572
329	2024-09-10	10	4:00	114	8837
330	2024-09-10	10	14:00	130	9866
331	2024-09-10	10	21:00	125	1761
332	2024-09-10	11	19:00	111	7073
333	2024-09-10	13	22:00	119	3927
334	2024-09-10	15	23:00	118	6087
335	2024-09-10	16	17:00	102	4589
336	2024-09-10	16	22:00	124	7633
337	2024-09-10	17	19:00	109	4450
338	2024-09-10	19	7:00	116	3546
339	2024-09-10	19	21:00	124	2729
340	2024-09-10	20	13:00	113	1151
341	2024-09-10	21	17:00	113	7712
342	2024-09-10	21	20:00	101	2635
343	2024-09-10	22	22:00	102	4341
344	2024-09-10	22	23:00	103	7699
345	2024-09-10	23	6:00	111	3877
346	2024-09-10	23	8:00	129	4362
347	2024-09-10	23	13:00	116	6519
348	2024-09-10	24	8:00	104	5122
349	2024-09-10	24	15:00	112	7303
350	2024-09-10	26	11:00	108	3453
351	2024-09-10	29	5:00	117	4856
352	2024-09-10	29	16:00	114	6224
353	2024-09-10	29	21:00	128	2515
354	2024-09-10	30	10:00	101	2250
355	2024-09-10	31	6:00	119	9082
356	2024-09-10	32	17:00	117	9579
357	2024-09-10	32	17:00	112	2049
358	2024-09-10	33	7:00	130	1176
359	2024-09-10	33	11:00	108	4873
360	2024-09-10	33	20:00	126	8751
361	2024-09-10	34	19:00	129	4764
362	2024-09-11	1	9:00	130	1866
363	2024-09-11	1	10:00	115	6218
364	2024-09-11	2	20:00	126	7708
365	2024-09-11	4	2:00	128	9947
366	2024-09-11	4	10:00	116	4744
367	2024-09-11	5	8:00	112	1856
368	2024-09-11	7	10:00	123	8423
369	2024-09-11	7	14:00	102	8768
370	2024-09-11	7	15:00	130	4259
371	2024-09-11	8	8:00	114	5122
372	2024-09-11	8	15:00	123	5935
373	2024-09-11	9	19:00	124	2987
374	2024-09-11	9	21:00	115	5612
375	2024-09-11	10	20:00	123	1770
376	2024-09-11	12	8:00	128	3388
377	2024-09-11	14	8:00	115	9735
378	2024-09-11	14	19:00	119	2081
379	2024-09-11	15	5:00	104	3408
380	2024-09-11	15	17:00	116	4478
381	2024-09-11	15	19:00	107	1661
382	2024-09-11	15	19:00	116	6380
383	2024-09-11	16	11:00	103	8394
384	2024-09-11	17	2:00	109	6487
385	2024-09-11	19	5:00	129	4554
386	2024-09-11	20	3:00	110	4048
387	2024-09-11	20	8:00	115	2987
388	2024-09-11	21	10:00	127	4081
389	2024-09-11	23	3:00	120	1441
390	2024-09-11	23	5:00	108	8580
391	2024-09-11	23	7:00	121	8754
392	2024-09-11	26	9:00	116	4826
393	2024-09-11	27	6:00	114	8809
394	2024-09-11	27	8:00	122	1519
395	2024-09-11	27	15:00	123	7077
396	2024-09-11	29	4:00	129	1403
397	2024-09-11	34	18:00	128	4985
398	2024-09-12	1	8:00	130	3789
399	2024-09-12	3	23:00	122	3123
400	2024-09-12	6	11:00	117	5881
401	2024-09-12	9	7:00	116	9685
402	2024-09-12	9	15:00	101	2876
403	2024-09-12	10	21:00	115	8333
404	2024-09-12	11	1:00	101	9892
405	2024-09-12	11	2:00	128	7056
406	2024-09-12	11	4:00	130	2421
407	2024-09-12	12	8:00	102	2579
408	2024-09-12	12	20:00	119	2038
409	2024-09-12	14	1:00	122	7334
410	2024-09-12	15	2:00	124	1890
411	2024-09-12	15	15:00	102	1391
412	2024-09-12	17	6:00	127	3779
413	2024-09-12	17	19:00	113	9735
414	2024-09-12	17	22:00	107	1285
415	2024-09-12	18	22:00	103	2687
416	2024-09-12	18	22:00	111	8383
417	2024-09-12	19	18:00	119	8731
418	2024-09-12	20	6:00	112	1645
419	2024-09-12	20	20:00	120	9803
420	2024-09-12	22	18:00	101	6156
421	2024-09-12	23	23:00	122	8791
422	2024-09-12	24	5:00	119	8787
423	2024-09-12	24	8:00	116	8340
424	2024-09-12	24	9:00	104	7317
425	2024-09-12	24	14:00	110	6611
426	2024-09-12	25	8:00	120	4584
427	2024-09-12	25	18:00	123	1486
428	2024-09-12	26	6:00	106	2535
429	2024-09-12	26	8:00	128	1618
430	2024-09-12	26	13:00	107	2340
431	2024-09-12	26	17:00	105	4356
432	2024-09-12	26	23:00	115	5982
433	2024-09-12	28	3:00	116	3234
434	2024-09-12	28	9:00	125	7635
435	2024-09-12	28	9:00	126	9617
436	2024-09-12	30	9:00	115	4585
437	2024-09-12	34	22:00	129	8054
438	2024-09-13	2	4:00	113	7141
439	2024-09-13	3	2:00	113	5971
440	2024-09-13	3	3:00	128	1810
441	2024-09-13	3	6:00	107	3035
442	2024-09-13	4	19:00	120	5732
443	2024-09-13	4	23:00	120	6899
444	2024-09-13	5	17:00	122	2833
445	2024-09-13	6	14:00	120	2726
446	2024-09-13	7	20:00	107	1536
447	2024-09-13	8	7:00	105	4921
448	2024-09-13	8	13:00	122	8412
449	2024-09-13	8	15:00	115	7959
450	2024-09-13	8	19:00	112	5853
451	2024-09-13	10	3:00	115	4878
452	2024-09-13	10	5:00	125	6720
453	2024-09-13	12	3:00	126	1857
454	2024-09-13	12	11:00	101	4562
455	2024-09-13	12	23:00	104	9842
456	2024-09-13	14	2:00	130	8047
457	2024-09-13	15	9:00	112	4091
458	2024-09-13	15	17:00	115	3113
459	2024-09-13	18	2:00	125	7099
460	2024-09-13	20	7:00	121	6208
461	2024-09-13	20	9:00	130	5924
462	2024-09-13	21	14:00	101	4220
463	2024-09-13	23	1:00	106	6561
464	2024-09-13	23	7:00	114	5761
465	2024-09-13	23	11:00	117	9718
466	2024-09-13	23	15:00	129	2055
467	2024-09-13	24	14:00	106	5160
468	2024-09-13	25	14:00	106	1207
469	2024-09-13	25	23:00	110	8412
470	2024-09-13	27	3:00	123	3333
471	2024-09-13	31	1:00	126	3985
472	2024-09-13	31	2:00	105	8073
473	2024-09-13	32	1:00	128	2750
474	2024-09-13	34	3:00	101	9447
475	2024-09-14	1	19:00	115	9579
476	2024-09-14	1	20:00	125	8152
477	2024-09-14	2	11:00	122	9470
478	2024-09-14	3	19:00	121	7763
479	2024-09-14	6	2:00	116	2496
480	2024-09-14	6	6:00	110	9447
481	2024-09-14	6	7:00	123	7668
482	2024-09-14	6	8:00	107	8483
483	2024-09-14	6	13:00	116	4310
484	2024-09-14	7	7:00	103	5438
485	2024-09-14	8	12:00	130	2542
486	2024-09-14	8	14:00	127	7760
487	2024-09-14	9	21:00	116	5025
488	2024-09-14	10	5:00	102	3544
489	2024-09-14	14	22:00	127	7298
490	2024-09-14	15	5:00	128	3209
491	2024-09-14	16	7:00	112	8863
492	2024-09-14	16	10:00	110	8366
493	2024-09-14	17	5:00	102	4813
494	2024-09-14	20	15:00	113	1364
495	2024-09-14	20	18:00	114	3886
496	2024-09-14	23	21:00	130	6927
497	2024-09-14	25	8:00	128	7970
498	2024-09-14	26	21:00	103	2678
499	2024-09-14	27	5:00	112	3170
500	2024-09-14	27	6:00	107	7507
501	2024-09-14	27	10:00	113	2256
502	2024-09-14	27	15:00	130	3427
503	2024-09-14	28	4:00	124	7401
504	2024-09-14	30	6:00	107	6569
505	2024-09-14	34	19:00	109	5317
506	2024-09-15	1	2:00	104	5763
507	2024-09-15	1	18:00	122	4103
508	2024-09-15	2	4:00	125	7984
509	2024-09-15	2	5:00	105	2020
510	2024-09-15	2	16:00	107	8292
511	2024-09-15	4	10:00	130	1537
512	2024-09-15	5	13:00	108	2131
513	2024-09-15	6	14:00	120	4421
514	2024-09-15	6	21:00	103	6140
515	2024-09-15	8	6:00	105	7354
516	2024-09-15	9	9:00	113	2638
517	2024-09-15	9	11:00	105	8555
518	2024-09-15	16	2:00	125	4099
519	2024-09-15	16	12:00	123	4772
520	2024-09-15	16	17:00	118	2746
521	2024-09-15	19	1:00	114	9974
522	2024-09-15	21	2:00	129	2627
523	2024-09-15	21	3:00	102	4484
524	2024-09-15	21	9:00	126	7472
525	2024-09-15	21	21:00	118	4295
526	2024-09-15	23	17:00	130	2557
527	2024-09-15	24	18:00	128	6972
528	2024-09-15	25	12:00	105	4822
529	2024-09-15	25	14:00	106	6656
530	2024-09-15	30	4:00	127	7714
531	2024-09-15	30	21:00	103	9525
532	2024-09-15	31	14:00	129	9065
533	2024-09-15	32	3:00	118	9918
534	2024-09-15	33	2:00	101	4547
535	2024-09-16	1	5:00	109	1226
536	2024-09-16	2	19:00	107	8329
537	2024-09-16	2	19:00	119	5673
538	2024-09-16	4	18:00	121	9218
539	2024-09-16	4	23:00	125	2049
540	2024-09-16	5	18:00	102	6972
541	2024-09-16	6	23:00	106	7809
542	2024-09-16	7	14:00	128	8082
543	2024-09-16	8	1:00	119	8579
544	2024-09-16	9	3:00	107	6117
545	2024-09-16	10	7:00	104	9705
546	2024-09-16	11	7:00	126	4061
547	2024-09-16	11	9:00	128	8839
548	2024-09-16	11	14:00	112	2613
549	2024-09-16	14	17:00	119	2725
550	2024-09-16	16	21:00	121	5997
551	2024-09-16	17	0:00	107	3500
552	2024-09-16	17	22:00	126	2020
553	2024-09-16	18	2:00	128	6954
554	2024-09-16	18	7:00	120	5955
555	2024-09-16	19	23:00	116	2594
556	2024-09-16	24	11:00	121	3585
557	2024-09-16	24	19:00	118	9157
558	2024-09-16	24	22:00	117	2286
559	2024-09-16	27	1:00	130	7399
560	2024-09-16	27	4:00	105	6151
561	2024-09-16	27	11:00	121	5437
562	2024-09-16	27	17:00	128	6588
563	2024-09-16	27	18:00	120	3297
564	2024-09-16	30	13:00	118	2152
565	2024-09-16	30	21:00	115	4776
566	2024-09-16	31	2:00	110	4883
567	2024-09-16	31	3:00	123	5081
568	2024-09-16	32	6:00	122	3669
569	2024-09-16	32	18:00	115	2847
570	2024-09-16	33	3:00	103	2875
571	2024-09-16	34	14:00	119	9987
572	2024-09-17	2	13:00	128	6055
573	2024-09-17	5	18:00	129	6356
574	2024-09-17	7	6:00	120	1908
575	2024-09-17	7	7:00	117	2624
576	2024-09-17	7	19:00	126	3116
577	2024-09-17	8	19:00	130	9404
578	2024-09-17	10	3:00	117	4138
579	2024-09-17	10	8:00	110	8987
580	2024-09-17	12	8:00	110	6333
581	2024-09-17	12	21:00	112	4279
582	2024-09-17	13	16:00	127	5402
583	2024-09-17	14	10:00	110	1232
584	2024-09-17	15	11:00	124	6487
585	2024-09-17	15	12:00	124	9820
586	2024-09-17	16	2:00	121	8227
587	2024-09-17	18	4:00	114	1799
588	2024-09-17	18	20:00	113	4436
589	2024-09-17	19	5:00	110	5916
590	2024-09-17	19	9:00	111	6326
591	2024-09-17	20	13:00	128	6258
592	2024-09-17	20	19:00	102	5081
593	2024-09-17	20	23:00	109	6676
594	2024-09-17	21	6:00	126	3985
595	2024-09-17	22	11:00	125	5473
596	2024-09-17	23	2:00	120	9139
597	2024-09-17	23	15:00	127	2895
598	2024-09-17	24	17:00	118	9185
599	2024-09-17	27	19:00	105	4059
600	2024-09-17	28	5:00	105	3243
601	2024-09-17	28	13:00	112	6249
602	2024-09-17	29	8:00	109	5713
603	2024-09-17	29	13:00	126	3690
604	2024-09-17	31	12:00	123	4774
605	2024-09-17	33	20:00	113	1438
606	2024-09-17	34	22:00	109	3504
607	2024-09-18	3	21:00	121	1231
608	2024-09-18	5	7:00	113	2020
609	2024-09-18	6	13:00	115	1582
610	2024-09-18	6	23:00	119	6701
611	2024-09-18	6	23:00	114	4456
612	2024-09-18	8	18:00	110	1718
613	2024-09-18	9	21:00	120	6618
614	2024-09-18	10	16:00	103	4534
615	2024-09-18	11	19:00	125	5155
616	2024-09-18	12	7:00	129	6769
617	2024-09-18	12	8:00	124	6520
618	2024-09-18	13	18:00	122	4339
619	2024-09-18	15	21:00	104	8859
620	2024-09-18	16	7:00	111	9744
621	2024-09-18	17	4:00	108	2261
622	2024-09-18	18	19:00	105	3794
623	2024-09-18	19	11:00	105	7692
624	2024-09-18	20	15:00	115	6763
625	2024-09-18	20	19:00	108	2333
626	2024-09-18	21	10:00	123	5119
627	2024-09-18	22	1:00	111	7497
628	2024-09-18	22	9:00	115	7790
629	2024-09-18	22	12:00	111	1124
630	2024-09-18	23	5:00	120	1422
631	2024-09-18	24	1:00	119	2558
632	2024-09-18	24	17:00	103	8471
633	2024-09-18	24	23:00	117	9332
634	2024-09-18	25	16:00	122	8379
635	2024-09-18	25	23:00	105	2392
636	2024-09-18	26	12:00	115	6225
637	2024-09-18	27	4:00	102	8882
638	2024-09-18	27	14:00	122	9666
639	2024-09-18	28	9:00	120	8905
640	2024-09-18	29	18:00	121	9919
641	2024-09-18	31	8:00	119	1991
642	2024-09-18	32	9:00	119	9192
643	2024-09-19	1	1:00	107	7729
644	2024-09-19	2	18:00	126	5134
645	2024-09-19	4	16:00	123	1957
646	2024-09-19	4	19:00	108	3132
647	2024-09-19	4	23:00	102	8095
648	2024-09-19	5	18:00	120	1380
649	2024-09-19	7	20:00	130	1524
650	2024-09-19	7	21:00	120	2230
651	2024-09-19	7	23:00	127	6975
652	2024-09-19	8	10:00	118	9753
653	2024-09-19	9	5:00	103	2933
654	2024-09-19	9	20:00	104	3284
655	2024-09-19	10	8:00	114	4134
656	2024-09-19	10	23:00	126	5050
657	2024-09-19	11	14:00	121	2795
658	2024-09-19	13	4:00	104	7550
659	2024-09-19	13	12:00	123	9860
660	2024-09-19	15	21:00	109	2360
661	2024-09-19	17	22:00	110	9010
662	2024-09-19	18	13:00	115	6976
663	2024-09-19	20	9:00	105	7047
664	2024-09-19	20	22:00	119	1506
665	2024-09-19	22	7:00	126	5256
666	2024-09-19	22	11:00	103	8749
667	2024-09-19	22	22:00	130	8486
668	2024-09-19	25	14:00	112	9866
669	2024-09-19	25	19:00	109	6996
670	2024-09-19	26	15:00	102	8530
671	2024-09-19	27	9:00	101	1638
672	2024-09-19	27	21:00	129	2722
673	2024-09-19	28	17:00	123	2260
674	2024-09-19	29	1:00	106	6779
675	2024-09-19	29	11:00	113	5187
676	2024-09-19	31	3:00	124	3220
677	2024-09-19	31	6:00	125	7955
678	2024-09-19	31	21:00	117	5631
679	2024-09-19	32	5:00	127	5539
680	2024-09-19	33	7:00	126	1234
681	2024-09-19	33	9:00	130	9921
682	2024-09-19	33	17:00	119	6676
683	2024-09-19	34	5:00	114	7429
684	2024-09-20	1	9:00	121	4562
685	2024-09-20	2	1:00	129	3805
686	2024-09-20	3	4:00	123	3334
687	2024-09-20	4	20:00	123	3313
688	2024-09-20	5	21:00	101	2557
689	2024-09-20	6	17:00	124	6662
690	2024-09-20	7	9:00	116	2834
691	2024-09-20	7	13:00	104	2658
692	2024-09-20	9	1:00	115	9217
693	2024-09-20	9	10:00	123	7852
694	2024-09-20	10	17:00	121	4623
695	2024-09-20	10	20:00	129	2085
696	2024-09-20	13	1:00	107	3140
697	2024-09-20	14	8:00	103	6523
