R_No	B_No(Boardingpass)	U_No	S_No	Div	Seat
104	97	62	17	1	E08
105	98	71	17	1	E53
106	99	83	17	1	E17
107	100	89	17	1	E49
108	101	91	17	1	F10
109	102	19	18	1	F10
110	103	27	18	1	B08
111	104	46	18	1	F05
112	105	56	18	1	B18
113	106	71	18	1	E26
114	107	88	18	1	E18
115	108	11	19	1	B15
116	109	38	19	1	B09
117	110	74	19	1	E28
118	111	90	19	1	B24
119	112	4	20	1	B13
120	113	40	20	1	F04
121	114	45	20	1	B21
122	115	13	21	1	E25
123	116	14	21	1	B18
124	117	25	21	1	B21
125	118	38	21	1	F08
126	119	40	21	1	B10
127	120	89	21	1	F10
128	121	95	21	1	B28
129	122	4	22	1	E04
130	123	5	22	1	B13
131	124	40	22	1	B07
132	125	57	22	1	F11
133	126	70	22	1	E52
134	127	89	22	1	B27
135	128	32	23	1	F01
136	129	41	23	1	F05
137	130	69	23	1	F01
138	131	75	23	1	F11
139	132	76	23	1	B27
140	133	20	24	1	F07
141	134	50	24	1	B29
142	135	65	24	1	E30
143	136	93	24	1	E22
144	137	30	25	1	E36
145	138	72	25	1	B02
146	139	77	25	1	E55
147	140	11	26	1	B30
148	141	26	26	1	F06
149	142	44	26	1	B16
150	143	51	26	1	E01
151	144	88	26	1	B16
152	145	95	26	1	F01
153	146	62	27	1	E29
154	147	66	27	1	E01
155	148	43	28	1	E05
156	149	61	28	1	E44
157	150	80	28	1	E29
158	151	15	29	1	B25
159	152	25	29	1	F06
160	153	58	29	1	F10
161	154	69	29	1	B08
162	155	77	29	1	F04
163	156	85	29	1	B01
164	157	86	29	1	B03
165	158	88	29	1	B13
166	159	12	30	1	E50
167	160	23	30	1	F09
168	161	46	30	1	F07
169	162	58	30	1	F12
170	163	2	31	1	F06
171	164	7	31	1	B16
172	165	44	31	1	E44
173	166	46	31	1	B28
174	167	54	31	1	F03
175	168	58	31	1	F04
176	169	80	31	1	B18
177	170	86	31	1	F06
178	171	95	31	1	F05
179	172	2	32	1	F03
180	173	17	32	1	E03
181	174	25	32	1	E49
182	175	39	32	1	F05
183	175	39	32	3	F06
184	175	39	32	2	E39
185	176	40	32	1	F07
186	177	61	32	1	B27
187	178	76	32	1	E31
188	179	9	33	1	E29
189	180	45	33	1	E33
190	181	59	33	1	E36
191	182	87	33	1	B11
192	183	92	33	1	B15
193	184	94	33	1	F01
194	185	22	34	1	E41
195	186	49	34	1	F04
196	187	78	34	1	F04
197	188	33	35	1	E56
198	189	40	35	1	F11
199	190	42	35	1	B25
200	191	70	35	1	E26
201	192	19	36	1	E43
202	193	31	36	1	E35
203	194	50	36	1	F08
204	195	88	36	1	E10
205	196	94	36	1	E10
206	197	11	37	1	F08
207	198	61	37	1	E33
208	199	75	37	1	B22
209	200	87	37	1	E52
210	201	88	37	1	F10
211	202	12	38	1	F05
212	203	21	38	1	B04
213	204	33	38	1	E17
214	205	35	38	1	F10
215	206	46	38	1	E14
216	207	53	38	1	B06
217	208	86	38	1	F12
218	209	88	38	1	B23
219	210	94	38	1	B21
220	211	13	39	1	E06
221	212	29	39	1	E37
222	213	33	39	1	F11
223	214	80	39	1	B28
224	215	18	40	1	E27
225	216	36	40	1	B14
226	217	44	40	1	B09
227	218	84	40	1	E25
228	219	2	41	1	F06
229	220	18	41	1	E47
230	221	24	41	1	F10
231	222	42	41	1	F10
232	223	71	41	1	E11
233	224	83	41	1	F07
234	225	91	41	1	B21
235	226	95	41	1	B03
236	227	3	42	1	F05
237	228	14	42	1	F03
238	229	23	42	1	B12
239	230	73	42	1	B14
240	231	47	43	1	F01
241	232	50	43	1	F09
242	233	57	43	1	B05
243	234	88	43	1	E32
244	234	88	43	2	E33
245	235	39	44	1	E03
246	236	43	44	1	F04
247	237	65	44	1	E39
248	238	67	44	1	B03
249	239	77	44	1	B17
250	240	84	44	1	F05
251	241	91	44	1	E11
252	242	92	44	1	F08
253	243	93	44	1	B18
254	244	4	45	1	E06
255	245	21	45	1	F07
256	246	26	45	1	F06
257	247	38	45	1	E07
258	248	41	45	1	B28
259	249	90	45	1	F08
260	250	32	46	1	F09
261	251	41	46	1	B01
262	252	67	46	1	F10
263	253	76	46	1	E24
264	254	2	47	1	F04
265	255	55	47	1	E27
266	256	56	47	1	B29
267	257	65	47	1	F10
268	258	68	47	1	E05
269	259	74	47	1	F12
270	260	87	47	1	B20
271	261	17	48	1	F02
272	262	29	48	1	F12
273	263	36	48	1	B17
274	264	56	48	1	B07
275	265	64	48	1	B23
276	266	86	48	1	E45
277	267	92	48	1	E19
278	268	15	49	1	B29
279	269	36	49	1	E21
280	270	50	49	1	E09
281	271	55	49	1	F05
282	272	58	49	1	F05
283	273	81	49	1	B23
284	274	48	50	1	E21
285	275	49	50	1	B22
286	276	52	50	1	F05
287	277	65	50	1	B26
288	278	89	50	1	E51
289	279	92	50	1	E50
290	280	8	51	1	B23
291	281	14	51	1	B27
292	282	30	51	1	F06
293	283	69	51	1	E21
294	284	31	52	1	E48
295	285	53	52	1	E15
296	286	55	52	1	B18
297	287	62	52	1	F05
298	288	69	52	1	E19
299	289	72	52	1	F10
300	290	14	53	1	B29
301	291	35	53	1	B21
302	292	41	53	1	B15
303	293	51	53	1	F11
304	294	66	53	1	F03
305	295	67	53	1	F07
306	296	84	53	1	B09
307	297	27	54	1	B15
308	298	33	54	1	B21
309	298	33	54	3	B22
310	299	52	54	1	F03
311	300	94	54	1	B17
312	301	25	55	1	E22
313	302	38	55	1	B16
314	303	42	55	1	B22
315	304	51	55	1	B08
316	305	71	55	1	E50
317	306	78	55	1	B24
318	307	80	55	1	F04
319	308	10	56	1	E06
320	309	59	56	1	B30
321	310	68	56	1	F06
322	311	81	56	1	F02
323	312	82	56	1	B28
324	313	65	57	1	F10
325	314	72	57	1	B08
326	315	88	57	1	F09
327	316	4	58	1	B24
328	317	45	58	1	B07
329	318	53	58	1	B28
330	319	89	58	1	B18
331	320	1	59	1	B05
332	321	52	59	1	F12
333	322	70	59	1	F02
334	322	70	59	2	F03
335	323	71	59	1	B06
336	324	88	59	1	E19
337	325	23	60	1	B16
338	326	50	60	1	E12
339	327	64	60	1	B20
340	328	92	60	1	B07
341	329	16	61	1	E21
342	330	23	61	1	B26
343	331	30	61	1	E27
344	332	56	61	1	F08
345	333	59	61	1	F05
346	334	60	61	1	F03
347	335	87	61	1	B12
348	336	17	62	1	E54
349	337	32	62	1	B25
350	338	37	62	1	F05
351	339	39	62	1	F12
352	340	74	62	1	B29
353	341	16	63	1	E55
354	342	28	63	1	B17
355	343	42	63	1	E32
356	344	53	63	1	B25
357	345	78	63	1	B07
358	346	79	63	1	F12
359	347	88	63	1	B02
360	348	14	64	1	E24
361	349	15	64	1	F11
362	350	18	64	1	F02
363	351	47	64	1	E02
364	352	70	64	1	F08
365	353	74	64	1	B18
366	354	75	64	1	E12
367	355	83	64	1	E44
368	356	92	64	1	F02
369	357	94	64	1	F10
370	358	34	65	1	B24
371	359	36	65	1	B13
372	360	74	65	1	B21
373	361	86	65	1	E24
374	362	88	65	1	F06
375	363	90	65	1	E53
376	364	2	66	1	B20
377	365	38	66	1	E08
378	366	43	66	1	F05
379	367	56	66	1	F03
380	368	86	66	1	F09
381	369	88	66	1	E47
382	370	7	67	1	F02
383	371	38	67	1	B19
384	372	45	67	1	B21
385	373	51	67	1	F05
386	374	75	67	1	B28
387	375	20	68	1	B07
388	376	24	68	1	B13
389	377	25	68	1	E50
390	378	30	68	1	E54
391	379	42	68	1	F06
392	380	7	69	1	B18
393	381	10	69	1	E32
394	382	15	69	1	B02
395	383	44	69	1	E48
396	384	62	69	1	E04
397	385	83	69	1	B30
398	386	25	70	1	F12
399	387	32	70	1	E05
400	388	50	70	1	E20
401	389	68	70	1	F08
402	390	86	70	1	B19
403	391	1	71	1	B05
404	392	60	71	1	E35
405	393	73	71	1	B11
406	394	8	72	1	B16
407	395	20	72	1	F03
408	396	23	72	1	F06
409	397	60	72	1	B17
410	398	63	72	1	F05
411	399	6	73	1	E30
412	400	13	73	1	E29
413	401	16	73	1	B20
414	401	16	73	3	B21
415	402	22	73	1	E46
416	403	47	73	1	B08
417	404	63	73	1	B12
418	405	86	73	1	F02
419	406	93	73	1	F05
420	407	8	74	1	B01
421	408	13	74	1	B01
422	409	19	74	1	B01
423	410	29	74	1	F05
424	410	29	74	2	F06
425	411	31	74	1	F01
426	412	77	74	1	F09
427	413	16	75	1	B05
428	414	30	75	1	F11
429	415	42	75	1	B24
430	416	86	75	1	F04
431	417	94	75	1	B29
432	418	1	76	1	B19
433	419	16	76	1	F07
434	420	19	76	1	E19
435	421	53	76	1	B22
436	422	71	76	1	E45
437	423	78	76	1	B09
438	424	8	77	1	E52
439	425	44	77	1	E13
440	426	48	77	1	F02
441	427	95	77	1	E47
442	428	3	78	1	E25
443	429	16	78	1	F03
444	430	35	78	1	F12
445	431	61	78	1	F10
446	432	71	78	1	B05
447	433	7	79	1	E52
448	434	37	79	1	F05
449	435	55	79	1	B19
450	436	81	79	1	B26
451	437	94	79	1	E54
452	438	38	80	1	F12
453	439	73	80	1	F11
454	440	93	80	1	B19
455	441	24	81	1	E39
456	442	37	81	1	F02
457	443	71	81	1	F08
458	444	91	81	1	B25
459	445	29	82	1	F09
460	446	34	82	1	E27
461	447	87	82	1	F06
462	448	1	83	1	F06
463	449	14	83	1	B04
464	450	39	83	1	B07
465	451	43	83	1	F07
466	452	49	83	1	F03
467	453	55	83	1	B01
468	454	30	84	1	B13
469	455	62	84	1	F06
470	456	76	84	1	B23
471	457	82	84	1	E24
472	458	94	84	1	B23
473	459	39	85	1	B07
474	460	45	85	1	B03
475	461	88	85	1	E05
476	462	11	86	1	B30
477	463	13	86	1	B23
478	464	26	86	1	B02
479	465	28	86	1	B29
480	466	58	86	1	B19
481	467	89	86	1	F01
482	468	4	87	1	F01
483	469	22	87	1	F03
484	470	23	87	1	E50
485	470	23	87	3	E51
486	471	39	87	1	E48
487	472	40	87	1	B03
488	473	44	87	1	F10
489	474	48	87	1	B13
490	475	53	87	1	F04
491	476	54	87	1	B20
492	477	56	87	1	B24
493	478	62	87	1	F04
494	479	88	87	1	F04
495	480	90	87	1	B12
496	481	31	88	1	F02
497	482	32	88	1	F06
498	483	42	88	1	E37
499	484	93	88	1	B09
500	485	16	89	1	B04
501	486	27	89	1	E38
502	487	28	89	1	F01
503	488	30	89	1	E21
504	489	70	89	1	B08
505	490	82	89	1	F05
506	491	85	89	1	B09
507	492	91	89	1	B27
508	492	91	89	1	B28
509	493	92	89	1	B15
510	494	9	90	1	E14
511	495	31	90	1	F07
512	496	56	90	1	F05
513	497	66	90	1	E34
514	498	68	90	1	F05
515	499	71	90	1	F12
516	500	8	91	1	F01
517	501	13	91	1	B17
518	502	37	91	1	E37
519	503	60	91	1	B16
520	504	90	91	1	E48
521	505	41	92	1	F03
522	506	73	92	1	E53
523	507	78	92	1	E42
524	508	8	93	1	F11
525	509	11	93	1	E50
526	510	19	93	1	F06
527	511	85	93	1	F02
528	512	94	93	1	E45
529	513	24	94	1	B09
530	514	35	94	1	B02
531	515	52	94	1	B08
532	516	74	94	1	B29
533	517	93	94	1	F05
534	517	93	94	3	F06
535	518	4	95	1	E24
536	519	7	95	1	E08
537	520	12	95	1	F09
538	521	18	95	1	B26
539	522	32	95	1	F12
540	523	33	95	1	E21
541	524	36	95	1	E22
542	525	41	95	1	B06
543	526	50	95	1	E39
544	527	82	95	1	E44
545	528	11	96	1	F04
546	529	23	96	1	B13
547	530	36	96	1	B02
548	531	69	96	1	E16
549	532	95	96	1	E17
550	533	38	97	1	E54
551	534	57	97	1	E31
552	535	64	97	1	B21
553	536	83	97	1	E02
554	537	86	97	1	E11
555	538	91	97	1	B07
556	539	49	98	1	E24
557	540	56	98	1	B28
558	541	28	99	1	B16
559	541	28	99	3	B17
560	542	39	99	1	E11
561	543	57	99	1	F04
562	544	63	99	1	F08
563	545	88	99	1	B29
564	546	8	100	1	B21
565	547	20	100	1	E18
566	548	33	100	1	F05
567	549	35	100	1	B10
568	550	57	100	1	E51
569	551	72	100	1	F07
570	552	5	101	1	E40
571	553	49	101	1	E56
572	554	72	101	1	F08
573	555	77	101	1	E54
574	556	78	101	1	F08
575	557	83	101	1	F03
576	558	89	101	1	B03
577	559	6	102	1	B23
578	560	11	102	1	F02
579	561	12	102	1	B10
580	562	13	102	1	F02
581	563	29	102	1	B19
582	564	30	102	1	B16
583	565	44	102	1	B23
584	566	18	103	1	E22
585	567	43	103	1	F04
586	568	54	103	1	E12
587	569	56	103	1	F08
588	570	22	104	1	E05
589	571	24	104	1	F03
590	572	28	104	1	F11
591	573	64	104	1	E41
592	574	93	104	1	F07
593	575	94	104	1	F07
594	576	19	105	1	F07
595	577	30	105	1	B29
596	578	91	105	1	E48
597	579	12	106	1	E22
598	580	30	106	1	E23
599	581	38	106	1	E01
600	582	47	106	1	B09
601	583	67	106	1	F11
602	584	72	106	1	B20
603	585	80	106	1	B04
604	586	85	106	1	B01
605	587	39	107	1	B10
606	588	67	107	1	B02
607	589	11	108	1	F07
608	590	35	108	1	B16
609	591	40	108	1	B29
610	592	44	108	1	F08
611	593	48	108	1	B14
612	594	61	108	1	E56
613	595	66	108	1	B04
614	596	74	108	1	F01
615	597	81	108	1	F08
616	598	32	109	1	E47
617	598	32	109	2	E48
618	599	33	109	1	F02
619	600	37	109	1	B02
620	600	37	109	1	B03
621	601	49	109	1	B03
622	602	59	109	1	E19
623	603	14	110	1	B30
624	604	19	110	1	B11
625	605	23	110	1	F08
626	606	38	110	1	B11
627	607	42	110	1	E55
628	607	42	110	3	E56
629	608	69	110	1	F04
630	609	88	110	1	B15
631	610	93	110	1	F08
632	611	13	111	1	E32
633	612	46	111	1	E38
634	613	60	111	1	B26
635	614	61	111	1	B06
636	615	63	111	1	F02
637	616	66	111	1	E26
638	617	4	112	1	E48
639	618	17	112	1	F05
640	619	20	112	1	B05
641	620	48	112	1	F10
642	621	20	113	1	F04
643	622	36	113	1	E56
644	623	42	113	1	B02
645	624	43	113	1	F06
646	625	70	113	1	E09
647	626	11	114	1	B02
648	627	26	114	1	E35
649	628	44	114	1	B26
650	629	70	114	1	F07
651	630	84	114	1	B22
652	631	20	115	1	E20
653	632	30	115	1	B09
654	633	89	115	1	B28
655	634	33	116	1	B10
656	635	46	116	1	B30
657	636	52	116	1	E12
658	637	69	116	1	F07
659	638	81	116	1	E13
660	639	6	117	1	F12
661	640	41	117	1	B13
662	641	50	117	1	F09
663	642	59	117	1	B08
664	643	63	117	1	B23
665	644	70	117	1	F01
666	645	95	117	1	F02
667	646	31	118	1	B16
668	647	44	118	1	F03
669	648	59	118	1	F07
670	649	80	118	1	E16
671	650	13	119	1	E31
672	651	21	119	1	F04
673	652	31	119	1	F11
674	653	39	119	1	E30
675	654	63	119	1	F08
676	655	80	119	1	B16
677	656	10	120	1	B27
678	657	59	120	1	B04
679	658	90	120	1	E27
680	659	30	121	1	E47
681	660	50	121	1	E51
682	661	54	121	1	F11
683	662	72	121	1	B28
684	663	74	121	1	B19
685	664	89	121	1	F01
686	665	24	122	1	F09
687	666	90	122	1	B25
688	667	4	123	1	B19
689	668	5	123	1	E45
690	669	20	123	1	E11
691	670	29	123	1	B19
692	671	43	123	1	B25
693	672	54	123	1	B15
694	673	67	123	1	E02
695	674	69	123	1	B26
696	675	74	123	1	E16
697	676	1	124	1	B14
698	677	3	124	1	E14
699	678	20	124	1	E31
700	679	76	124	1	B16
701	680	1	125	1	E17
702	681	33	125	1	B04
703	682	46	125	1	F08
704	683	48	125	1	B27
705	684	65	125	1	E44
706	685	72	125	1	F07
707	686	73	125	1	F11
708	687	21	126	1	E11
709	688	29	126	1	B21
710	689	36	126	1	F04
711	690	47	126	1	B18
712	691	50	126	1	E38
713	692	64	126	1	B12
714	693	70	126	1	B16
715	694	76	126	1	E56
716	695	86	126	1	B28
717	696	5	127	1	F08
718	697	59	127	1	F11
719	698	61	127	1	F12
720	699	73	127	1	F11
721	700	86	127	1	E29
722	701	29	128	1	F08
723	702	46	128	1	B07
724	703	52	128	1	B01
725	704	55	128	1	E32
726	705	83	128	1	E08
727	706	85	128	1	F04
728	707	2	129	1	B24
729	708	3	129	1	B29
730	709	11	129	1	E06
731	710	18	129	1	F10
732	711	24	129	1	F07
733	712	27	129	1	E20
734	713	59	129	1	B30
735	714	63	129	1	B02
736	715	90	129	1	F08
737	716	14	130	1	B06
738	717	22	130	1	B12
739	718	25	130	1	B05
740	719	44	130	1	E26
741	720	54	130	1	F05
742	721	66	130	1	F06
743	722	5	131	1	B27
744	723	34	131	1	F03
745	724	41	131	1	B25
746	725	5	132	1	F12
747	726	28	132	1	F04
748	727	58	132	1	E46
749	728	84	132	1	B06
750	729	89	132	1	B15
751	730	1	133	1	B14
752	731	13	133	1	B14
753	732	32	133	1	B06
754	733	49	133	1	E02
755	734	68	133	1	F02
756	735	70	134	1	E12
757	736	88	134	1	F07
758	737	49	135	1	E12
759	738	53	135	1	E42
760	739	54	135	1	B05
761	740	21	136	1	B17
762	741	24	136	1	E23
763	742	32	136	1	B03
764	743	65	136	1	F04
765	744	74	136	1	E15
766	744	74	136	3	E16
767	745	80	136	1	F12
768	746	94	136	1	E44
769	747	8	137	1	E02
770	748	31	137	1	F03
771	749	42	137	1	B29
772	750	65	137	1	F05
773	751	80	137	1	E30
774	752	82	137	1	B15
775	753	84	137	1	E50
776	754	8	138	1	E27
777	755	10	138	1	F03
778	756	35	138	1	F05
779	757	42	138	1	B26
780	758	52	138	1	B09
781	759	55	138	1	F01
782	760	58	138	1	F08
783	761	59	138	1	F08
784	762	65	138	1	F04
785	763	69	138	1	B30
786	764	71	138	1	B17
787	765	25	139	1	E35
788	766	28	139	1	F01
789	767	41	139	1	B06
790	768	52	139	1	F04
791	769	65	139	1	F09
792	770	12	140	1	F05
793	771	27	140	1	F08
794	772	45	140	1	E19
795	773	48	140	1	E34
796	774	61	140	1	E19
797	775	79	140	1	E26
798	776	83	140	1	B22
799	777	1	141	1	F12
800	778	6	141	1	B07
801	779	8	141	1	B16
802	780	26	141	1	B17
803	781	48	141	1	B29
804	781	48	141	2	B30
805	782	55	141	1	F03
806	783	72	141	1	F04
807	784	75	141	1	B10
808	785	85	141	1	E02
809	786	89	141	1	F01
810	787	33	142	1	F11
811	788	34	142	1	E42
812	789	52	142	1	F05
813	790	64	142	1	E48
814	791	65	142	1	F12
815	792	9	143	1	E05
816	793	31	143	1	B02
817	794	43	143	1	B12
818	795	1	144	1	E07
819	796	4	144	1	F08
820	797	38	144	1	E51
821	798	42	144	1	F09
822	799	62	144	1	E50
823	800	74	144	1	B11
824	801	12	145	1	F03
825	802	13	145	1	F11
826	803	15	145	1	F01
827	804	32	145	1	B23
828	805	43	145	1	B25
829	806	59	145	1	E29
830	806	59	145	2	E30
831	807	74	145	1	E17
832	808	86	145	1	B09
833	809	2	146	1	E15
834	810	10	146	1	F05
835	811	13	146	1	B09
836	812	36	146	1	E52
837	813	50	146	1	E09
838	814	66	146	1	F02
839	815	83	146	1	F07
840	816	95	146	1	B19
841	817	1	147	1	E29
842	818	21	147	1	E33
843	819	37	147	1	B17
844	820	48	147	1	F11
845	821	52	147	1	F02
846	822	66	147	1	E45
847	823	75	147	1	B01
848	824	76	147	1	F10
849	825	77	147	1	F12
850	825	77	147	2	F13
851	826	81	147	1	E12
852	827	26	148	1	F09
853	828	47	148	1	F07
854	829	70	148	1	E02
855	830	72	148	1	F06
856	831	81	148	1	F10
857	832	92	148	1	F05
858	833	21	149	1	B01
859	834	30	149	1	F07
860	835	89	149	1	E55
861	836	11	150	1	B28
862	837	24	150	1	E29
863	838	29	150	1	F09
864	839	42	150	1	B29
865	840	54	150	1	E03
866	841	62	150	1	B13
867	842	63	150	1	F03
868	843	72	150	1	B01
869	844	94	150	1	F08
870	845	3	151	1	E18
871	846	16	151	1	E43
872	847	27	151	1	F04
873	848	30	151	1	F04
874	848	30	151	2	F05
875	849	40	151	1	F11
876	850	56	151	1	E01
877	851	62	151	1	B04
878	852	75	151	1	F12
879	853	94	151	1	F09
880	854	7	152	1	E33
881	855	8	152	1	B15
882	856	40	152	1	B21
883	857	43	152	1	E50
884	858	72	152	1	F03
885	859	86	152	1	B14
886	860	91	152	1	E06
887	861	4	153	1	B08
888	862	30	153	1	B23
889	863	65	153	1	B29
890	864	69	153	1	E53
891	865	83	153	1	E16
892	866	13	154	1	E22
893	867	22	154	1	B20
894	868	24	154	1	E44
895	869	40	154	1	B30
896	870	42	154	1	B19
897	871	55	154	1	B10
898	872	75	154	1	F02
899	873	93	154	1	F06
900	874	21	155	1	B02
901	874	21	155	2	B03
902	875	9	156	1	B29
903	876	21	156	1	F03
904	877	34	156	1	E52
905	878	73	156	1	B12
906	879	12	157	1	B24
907	880	25	157	1	E21
908	881	43	157	1	B09
909	882	57	157	1	B12
910	883	61	157	1	B22
911	883	61	157	1	B23
912	884	66	157	1	E28
913	885	84	157	1	B09
914	886	7	158	1	F05
915	887	28	158	1	B17
916	888	42	158	1	B24
917	889	88	158	1	F05
918	890	4	159	1	B04
919	891	8	159	1	B07
920	892	54	159	1	E45
921	893	79	159	1	F06
922	894	84	159	1	E36
923	895	86	159	1	B06
924	896	5	160	1	F07
925	897	58	160	1	E55
926	898	5	161	1	E16
927	899	6	161	1	E42
928	900	31	161	1	F11
929	901	55	161	1	B14
930	902	58	161	1	E09
931	903	62	161	1	E33
932	904	66	161	1	B02
933	905	6	162	1	B02
934	906	33	162	1	F09
935	907	41	162	1	F10
936	908	54	162	1	F12
937	909	78	162	1	B19
938	910	90	162	1	E56
939	911	6	163	1	E29
940	912	18	163	1	F01
941	913	42	163	1	F04
942	914	25	164	1	E30
943	915	50	164	1	B19
944	916	64	164	1	F05
945	917	74	164	1	B22
946	918	81	164	1	E53
947	919	2	165	1	F11
948	920	16	165	1	B25
949	921	33	165	1	B03
950	922	35	165	1	F04
951	923	42	165	1	E13
952	924	63	165	1	B17
953	924	63	165	1	B18
954	925	72	165	1	B25
955	926	82	165	1	E28
956	927	91	165	1	E51
957	928	95	165	1	E46
958	929	42	166	1	E15
959	930	63	166	1	B08
960	931	11	167	1	F06
961	932	31	167	1	F06
962	933	33	167	1	E19
963	934	64	167	1	E18
964	935	81	167	1	B01
965	936	40	168	1	B24
966	937	53	168	1	F11
967	938	65	168	1	B15
968	939	75	168	1	F05
969	940	94	168	1	B19
970	941	8	169	1	F10
971	942	47	169	1	B12
972	943	64	169	1	B15
973	944	66	169	1	E39
974	945	70	169	1	B07
975	946	29	170	1	E07
976	947	43	170	1	F04
977	948	48	170	1	E01
978	948	48	170	2	E02
979	949	17	171	1	E31
980	950	31	171	1	F10
981	951	46	171	1	B26
982	952	55	171	1	E20
983	953	66	171	1	B01
984	954	78	171	1	E34
985	955	84	171	1	B30
986	956	90	171	1	B20
987	957	92	171	1	F01
988	958	5	172	1	B16
989	959	13	172	1	B02
990	960	63	172	1	F11
991	961	79	172	1	F02
992	962	80	172	1	F12
993	963	87	172	1	F05
994	964	3	173	1	B21
995	965	5	173	1	F07
996	966	30	173	1	B21
997	967	83	173	1	F02
998	968	95	173	1	B23
999	969	32	174	1	F08
1000	970	56	174	1	B15
1001	971	81	174	1	F08
1002	972	85	174	1	F07
1003	973	93	174	1	E53
1004	974	8	175	1	F04
1005	975	12	175	1	F06
1006	976	24	175	1	F02
1007	977	60	175	1	B19
1008	978	61	175	1	F05
1009	979	71	175	1	E54
1010	980	83	175	1	F04
1011	981	43	176	1	E08
1012	981	43	176	2	E09
1013	982	48	176	1	E03
1014	983	56	176	1	E53
1015	984	93	176	1	E31
1016	985	17	177	1	E25
1017	986	26	177	1	F11
1018	987	45	177	1	F10
1019	987	45	177	2	F11
1020	988	57	177	1	B18
1021	989	14	178	1	F01
1022	989	14	178	3	F02
1023	990	30	178	1	E12
1024	991	32	178	1	B05
1025	992	52	178	1	B18
1026	993	58	178	1	E39
1027	994	68	178	1	B12
1028	995	69	178	1	E31
1029	996	88	178	1	F01
1030	997	1	179	1	F10
1031	998	19	179	1	F01
1032	999	22	179	1	E41
1033	1000	78	179	1	E37
1034	1001	18	180	1	F06
1035	1002	65	180	1	E07
1036	1003	67	180	1	F07
1037	1004	22	181	1	B12
1038	1005	29	181	1	B11
1039	1006	30	181	1	E30
1040	1007	44	181	1	F01
1041	1008	55	181	1	F10
1042	1009	73	181	1	B20
1043	1010	13	182	1	E20
1044	1011	31	182	1	F07
1045	1012	57	182	1	B18
1046	1013	58	182	1	B11
1047	1014	60	182	1	B11
1048	1015	71	182	1	B27
1049	1016	77	182	1	B11
1050	1017	4	183	1	E33
1051	1018	5	183	1	E50
1052	1019	53	183	1	F10
1053	1020	57	183	1	F01
1054	1021	72	183	1	E06
1055	1022	73	183	1	E52
1056	1023	81	183	1	E32
1057	1024	86	183	1	E33
1058	1025	11	184	1	F02
1059	1026	35	184	1	F12
1060	1027	45	184	1	F11
1061	1028	79	184	1	B12
1062	1029	85	184	1	E32
1063	1030	13	185	1	B17
1064	1031	30	185	1	B28
