No	User_no	Goal_no	Totalamount	Directamount	Indirectamount	Date	Time
63	29	3	70444	400	70044	2023-12-13	5:16:34
64	27	5	164877	100000	64877	2024-04-20	10:27:32
65	21	8	23045	23000	45	2020-08-26	4:45:21
66	3	12	120089	69000	51089	2024-08-17	23:15:59
67	37	8	64970	64000	970	2024-08-02	20:56:32
68	21	11	97629	6000	91629	2023-12-05	19:02:19
69	23	1	85008	85000	8	2024-06-30	8:01:03
70	16	13	75003	18000	57003	2020-11-07	0:11:35
71	21	5	100574	47000	53574	2022-05-17	12:21:32
72	35	7	123919	48000	75919	2022-06-28	0:49:20
73	18	7	61512	2000	59512	2020-11-14	13:04:37
74	5	16	54457	54000	457	2023-05-16	11:01:51
75	39	17	128203	69000	59203	2021-07-28	7:03:25
76	37	2	94007	94000	7	2024-08-15	19:20:57
77	25	5	146165	77000	69165	2024-02-16	3:57:05
78	20	14	150002	76000	74002	2021-01-13	20:54:00
79	13	3	62345	62000	345	2024-07-05	10:15:52
80	37	11	90427	10000	80427	2024-08-14	18:37:05
81	17	3	99322	84000	15322	2020-01-27	1:03:56
82	3	2	113105	55000	58105	2024-08-22	3:35:28
83	5	5	77786	22000	55786	2022-02-21	6:45:48
84	1	7	61078	61000	78	2020-05-01	13:56:12
85	13	3	32249	20000	12249	2023-09-20	19:39:46
86	14	8	119205	58000	61205	2022-07-13	4:42:50
87	34	13	119143	27000	92143	2023-01-04	8:39:14
88	38	17	28078	28000	78	2019-05-11	23:25:57
89	9	10	125880	32000	93880	2020-08-28	19:01:10
90	2	13	114908	79000	35908	2022-12-22	9:14:10
91	11	1	87469	52000	35469	2024-08-12	0:54:00
92	21	6	146295	100000	46295	2019-09-08	20:03:12
93	5	4	44005	44000	5	2022-12-20	20:48:16
94	12	14	75046	75000	46	2020-04-13	16:59:55
95	18	5	52709	15000	37709	2022-06-15	14:22:45
96	37	12	76740	24000	52740	2024-08-22	18:18:55
97	3	17	15087	15000	87	2024-08-07	1:02:48
98	11	5	111669	36000	75669	2024-08-01	2:19:17
99	13	11	147283	64000	83283	2022-04-01	9:40:31
100	12	16	13068	13000	68	2020-07-05	3:42:31
101	31	17	83288	42000	41288	2022-07-24	23:27:16
102	24	11	130514	85000	45514	2019-05-06	16:40:45
103	32	8	83067	83000	67	2024-08-16	1:56:01
104	12	5	33174	27000	6174	2024-02-12	16:41:16
105	36	1	142983	54000	88983	2019-09-08	22:53:51
106	38	3	119729	83000	36729	2022-10-31	19:18:20
107	9	7	106201	71000	35201	2022-03-21	9:38:19
108	16	6	38457	38000	457	2021-04-25	23:43:39
109	2	5	152804	64000	88804	2022-03-22	12:20:34
110	38	8	20671	20000	671	2023-03-03	13:13:04
111	21	5	107257	77000	30257	2023-05-30	13:33:42
112	6	9	80941	700	80241	2020-07-13	5:03:03
113	37	4	98235	98000	235	2024-08-17	15:25:41
114	2	9	71457	71000	457	2023-03-18	0:03:36
115	5	17	67457	67000	457	2022-04-16	17:40:20
116	16	6	150655	70000	80655	2024-07-09	21:48:12
117	6	2	21035	21000	35	2023-04-05	14:59:03
118	20	3	133416	81000	52416	2020-11-24	19:45:30
119	3	15	104179	16000	88179	2024-08-26	7:17:01
120	36	17	85605	35000	50605	2024-05-08	5:29:15
121	31	6	85847	66000	19847	2024-06-16	5:27:56
122	9	4	163840	98000	65840	2019-06-18	14:51:58
123	11	2	51045	51000	45	2024-08-21	16:21:34
124	27	3	182370	87000	95370	2021-07-07	1:06:19
125	27	1	64563	53000	11563	2022-08-10	20:41:20
126	21	2	86012	86000	12	2019-06-19	0:04:07
127	28	17	70457	70000	457	2019-08-31	17:02:44
128	4	10	54582	48000	6582	2024-07-29	1:34:49
129	18	16	8457	8000	457	2020-01-10	13:01:52
130	21	8	33457	33000	457	2022-09-18	22:46:37
131	12	11	13378	5000	8378	2019-04-28	12:36:34
132	22	11	119834	66000	53834	2020-07-28	0:05:31
133	10	2	81457	81000	457	2019-10-16	3:37:19
134	40	7	12457	12000	457	2024-07-12	10:51:39
135	7	11	55457	55000	457	2020-12-26	16:03:11
136	10	7	51486	11000	40486	2022-10-07	22:18:38
137	31	1	9087	9000	87	2020-07-28	0:55:00
138	28	3	42457	42000	457	2021-07-06	14:46:55
139	13	17	71904	21000	50904	2020-09-18	17:25:54
140	19	4	75199	56000	19199	2023-10-09	15:22:11
141	27	1	50057	50000	57	2019-06-18	22:34:41
142	30	7	73457	73000	457	2019-09-20	7:10:42
143	25	4	83131	16000	67131	2019-07-27	6:28:26
144	36	17	95706	87000	8706	2024-01-23	21:47:15
145	38	6	47045	47000	45	2023-12-14	15:14:34
146	9	8	96833	75000	21833	2022-02-12	0:52:58
147	29	3	90057	90000	57	2021-03-16	10:30:41
148	31	5	53098	43000	10098	2019-03-28	2:09:38
149	24	13	43457	43000	457	2019-01-04	17:04:46
150	24	4	50685	44000	6685	2024-05-14	20:10:58
151	15	17	57457	57000	457	2019-06-09	14:03:28
152	13	4	54413	42000	12413	2021-12-21	6:39:45
153	31	16	73766	7000	66766	2021-12-19	10:18:31
154	9	17	68457	68000	457	2022-08-23	16:34:58
155	18	8	147181	68000	79181	2021-07-30	7:06:32
156	39	10	9457	9000	457	2022-08-16	23:13:05
157	33	10	45360	2000	43360	2022-03-04	22:55:06
158	18	15	93045	93000	45	2021-10-13	4:53:20
159	16	3	32175	19000	13175	2020-07-25	1:39:32
160	20	17	20457	20000	457	2021-06-08	23:02:51
161	22	6	46005	46000	5	2021-08-23	19:05:45
162	13	2	7035	7000	35	2023-06-30	15:39:03
163	36	3	54057	54000	57	2024-07-24	12:06:47
164	4	9	38998	27000	11998	2022-04-15	18:53:10
165	33	9	46012	46000	12	2020-03-18	15:43:55
166	10	1	39045	39000	45	2022-06-25	15:09:21
167	17	13	84457	84000	457	2023-12-20	15:10:01
168	20	9	80655	20000	60655	2024-02-29	9:37:22
169	39	15	166715	93000	73715	2021-09-19	7:58:29
170	14	9	12910	6000	6910	2024-03-21	20:10:29
171	8	1	147204	66000	81204	2023-11-27	8:43:56
172	38	13	8078	8000	78	2021-12-13	18:29:15
173	5	17	41057	41000	57	2019-04-21	5:41:36
174	27	9	36547	36000	547	2021-08-28	11:08:06
175	39	7	73384	23000	50384	2023-06-14	11:07:25
176	7	3	42527	38000	4527	2020-04-23	1:09:31
177	19	11	83045	83000	45	2020-08-27	22:21:27
178	4	15	69999	7000	62999	2023-04-29	5:05:27
179	13	6	39457	39000	457	2023-06-14	0:53:01
180	18	7	55012	55000	12	2023-06-04	0:57:31
181	9	1	93058	93000	58	2022-02-18	22:03:48
182	26	9	100056	100000	56	2020-02-16	14:25:12
183	39	3	71568	71000	568	2021-10-30	12:28:59
184	10	13	76056	76000	56	2021-01-08	19:25:07
185	8	1	102670	81000	21670	2020-09-08	6:36:17
186	21	12	30045	30000	45	2019-11-11	20:49:54
187	35	3	27056	27000	56	2020-08-17	14:56:39
188	25	14	2457	2000	457	2021-02-15	7:01:34
189	39	7	128330	100000	28330	2019-12-23	23:34:25
190	9	4	162378	99000	63378	2023-01-09	23:25:00
191	9	8	64045	64000	45	2020-11-16	3:09:35
192	40	10	58186	57000	1186	2020-10-31	4:46:41
193	22	10	64457	64000	457	2021-11-12	14:17:37
194	18	11	19037	19000	37	2021-07-24	18:09:59
195	14	15	65005	65000	5	2024-03-19	22:08:41
196	12	16	2568	2000	568	2022-02-02	5:05:40
197	28	16	128430	74000	54430	2023-05-20	4:36:50
198	36	6	124331	81000	43331	2020-06-13	2:16:47
199	9	10	176358	88000	88358	2020-05-31	14:26:48
200	33	7	105516	26000	79516	2021-09-02	8:53:53
201	10	13	2045	2000	45	2023-05-13	0:22:36
202	31	3	163388	99000	64388	2020-07-08	13:35:23
203	36	11	60650	7000	53650	2022-05-09	15:33:35
204	23	13	83608	4000	79608	2022-10-11	7:42:53
205	32	6	126417	20000	106417	2024-08-20	11:56:28
206	9	12	97078	97000	78	2021-08-21	0:41:35
207	12	6	162417	98000	64417	2022-05-03	16:54:46
208	31	1	66797	2000	64797	2019-07-11	3:24:24
209	21	6	164036	98000	66036	2021-10-15	8:13:38
210	18	5	82247	82000	247	2022-06-06	5:35:20
211	2	4	136706	56000	80706	2024-02-27	13:32:58
212	11	1	60502	59000	1502	2024-08-19	12:45:00
213	13	11	90187	26000	64187	2022-04-08	23:12:57
214	7	15	30219	27000	3219	2022-09-09	6:33:51
215	11	12	36235	36000	235	2024-08-10	16:05:52
216	14	13	56045	56000	45	2024-04-16	22:52:35
217	20	11	129923	67000	62923	2022-01-09	19:08:13
218	34	17	117076	75000	42076	2022-02-04	4:36:04
219	15	2	155663	78000	77663	2022-06-08	0:03:53
220	18	5	99252	87000	12252	2022-10-19	16:48:11
221	15	9	25078	25000	78	2021-01-19	20:54:27
222	30	6	104652	21000	83652	2023-06-21	17:29:24
223	21	5	121238	31000	90238	2020-06-19	1:14:42
224	11	16	142578	93000	49578	2024-08-08	16:52:59
225	2	2	97876	17000	80876	2021-03-16	21:07:29
226	39	8	72128	72000	128	2020-10-06	19:37:20
227	1	15	177935	97000	80935	2021-04-09	0:14:54
228	20	10	81661	32000	49661	2021-12-29	17:13:43
229	24	3	14078	14000	78	2020-09-22	11:37:29
230	32	14	33354	31000	2354	2024-08-26	3:13:16
231	26	13	63666	54000	9666	2024-01-26	2:18:31
232	11	5	54350	32000	22350	2024-08-22	15:13:19
233	12	14	83627	29000	54627	2021-09-04	20:45:24
234	39	10	44453	44000	453	2022-11-12	18:57:59
235	21	5	121130	56000	65130	2019-09-09	9:05:27
236	19	9	55892	16000	39892	2022-05-15	10:35:07
237	33	14	5578	5000	578	2022-12-13	13:24:50
238	31	9	171030	82000	89030	2022-02-03	5:21:20
239	13	11	133336	66000	67336	2021-01-27	0:57:12
240	5	15	24008	24000	8	2020-08-09	19:37:02
241	6	8	98743	65000	33743	2022-08-07	8:33:59
242	36	1	98853	59000	39853	2023-11-13	14:27:30
243	22	4	23647	3000	20647	2024-07-13	12:48:09
244	11	16	77457	77000	457	2024-08-23	6:02:38
245	33	9	79125	63000	16125	2022-08-22	10:06:53
246	22	1	127074	91000	36074	2023-07-20	1:01:39
247	5	6	70816	19000	51816	2020-01-25	4:02:26
248	12	1	100153	97000	3153	2019-10-08	3:10:30
249	22	8	84856	84000	856	2024-03-12	7:40:23
250	21	14	65127	62000	3127	2023-05-06	8:17:55
251	33	15	128562	66000	62562	2020-03-04	20:02:45
252	14	12	85845	85000	845	2022-04-16	3:08:48
253	25	12	124775	48000	76775	2022-04-08	3:26:42
254	33	10	8056	8000	56	2023-08-04	0:27:09
255	35	4	4056	4000	56	2024-01-25	6:20:30
256	21	3	134706	73000	61706	2022-02-25	23:06:05
257	8	14	36057	36000	57	2019-06-02	12:31:25
258	4	10	90905	55000	35905	2022-05-16	0:13:48
259	2	13	83457	83000	457	2021-07-21	0:18:18
260	40	16	34457	34000	457	2023-06-09	21:32:03
261	38	3	79346	79000	346	2022-05-22	2:19:08
262	24	14	67027	67000	27	2022-06-10	5:51:18
263	11	4	50251	12000	38251	2024-08-16	0:32:15
264	30	13	46657	46000	657	2023-01-21	12:54:18
265	27	7	94415	94000	415	2019-05-25	22:00:04
266	15	10	147826	82000	65826	2021-05-02	8:03:55
267	10	16	86567	86000	567	2023-05-15	0:30:53
268	22	13	145722	63000	82722	2019-04-23	10:40:31
269	38	17	80567	80000	567	2022-01-01	0:04:44
270	33	14	121948	57000	64948	2022-04-30	2:24:48
271	15	1	54138	54000	138	2024-03-16	20:08:17
272	4	5	97320	24000	73320	2024-06-28	10:59:21
273	5	4	145522	55000	90522	2024-06-13	9:14:14
274	9	9	62567	62000	567	2019-01-02	10:00:24
275	21	5	30549	29000	1549	2019-08-31	17:04:09
276	32	12	133027	79000	54027	2024-08-07	12:21:27
277	14	9	148694	85000	63694	2021-05-06	13:52:08
278	1	11	66457	66000	457	2024-04-02	11:20:15
279	5	17	34764	27000	7764	2024-06-29	7:46:10
280	24	5	89214	61000	28214	2020-01-04	11:03:28
281	18	8	37057	37000	57	2020-09-26	20:46:20
282	1	13	62172	48000	14172	2020-09-25	23:01:17
283	27	11	58135	58000	135	2022-12-08	20:48:26
284	10	12	168122	90000	78122	2022-07-22	8:41:19
285	9	14	83804	27000	56804	2024-07-16	17:59:05
286	39	7	65482	8000	57482	2021-08-12	15:33:28
287	16	10	66629	40000	26629	2019-01-01	11:44:35
288	31	2	166228	91000	75228	2021-04-06	16:28:24
289	33	4	96384	96000	384	2020-06-09	10:20:17
290	33	10	185431	88000	97431	2022-11-12	17:03:54
291	19	2	60568	60000	568	2024-07-15	14:17:34
292	30	7	149922	53000	96922	2023-07-13	17:09:59
293	30	13	98358	97000	1358	2020-03-06	9:16:30
294	18	2	111501	39000	72501	2020-06-27	10:48:46
295	33	15	61539	48000	13539	2019-05-15	14:26:11
296	29	6	75425	16000	59425	2023-12-12	17:59:46
297	21	11	37027	36000	1027	2019-08-30	16:49:53
298	6	2	63243	63000	243	2023-12-04	9:05:55
299	8	1	66300	37000	29300	2023-09-09	13:32:07
300	26	8	37523	33000	4523	2023-09-24	21:30:04
301	1	4	103878	34000	69878	2019-09-06	12:30:00
302	26	5	36959	36000	959	2020-07-27	18:56:51
303	6	13	3568	3000	568	2019-10-24	7:33:25
304	24	4	41027	3000	38027	2019-01-12	12:34:11
305	23	2	108022	52000	56022	2022-02-05	20:40:40
306	39	13	37381	33000	4381	2019-08-09	18:12:25
307	25	8	87515	22000	65515	2021-03-13	3:16:35
308	37	8	17048	17000	48	2024-08-21	20:51:43
309	20	5	140041	90000	50041	2020-02-14	8:49:14
310	33	9	135999	36000	99999	2023-05-15	19:40:05
311	6	3	84567	84000	567	2021-11-03	0:53:59
312	2	15	25094	25000	94	2022-09-29	22:38:00
313	22	9	151730	56000	95730	2023-07-14	15:19:33
314	31	11	19567	19000	567	2021-12-07	17:31:16
315	31	10	46679	46000	679	2019-02-25	12:20:29
316	40	4	52402	46000	6402	2019-10-15	20:04:15
317	39	9	83879	83000	879	2022-10-17	1:11:06
318	37	16	166342	75000	91342	2024-08-24	19:01:43
319	15	4	15456	15000	456	2024-07-24	19:31:19
320	12	16	116896	36000	80896	2021-11-01	6:02:46
321	19	17	84456	84000	456	2020-12-18	13:17:00
322	4	8	115686	36000	79686	2019-06-26	23:54:03
323	16	11	40002	7000	33002	2023-03-13	17:53:19
324	39	16	77663	54000	23663	2021-12-23	10:04:22
325	16	1	89383	85000	4383	2019-05-16	21:48:08
326	16	4	111404	64000	47404	2021-04-16	0:58:47
327	8	3	106430	84000	22430	2024-02-09	15:51:48
328	20	5	5453	4000	1453	2022-06-12	7:40:26
329	34	10	16679	16000	679	2023-12-12	11:45:06
330	30	2	132669	88000	44669	2020-06-29	4:17:45
331	35	2	48453	48000	453	2020-07-12	9:20:15
332	17	2	89654	89000	654	2019-08-25	14:00:50
333	4	16	79174	25000	54174	2023-10-16	17:30:00
334	16	13	7064	7000	64	2021-06-21	16:22:10
335	39	6	13433	10000	3433	2024-02-02	20:18:51
336	21	1	83034	83000	34	2019-09-04	19:29:05
337	36	11	98742	98000	742	2020-01-01	4:55:32
338	1	2	83242	40000	43242	2024-06-28	6:09:32
339	3	15	82737	82000	737	2024-08-05	1:51:00
340	17	11	88235	88000	235	2022-07-10	7:15:42
341	23	1	58063	58000	63	2020-10-28	8:15:11
342	5	3	58215	54000	4215	2024-01-25	0:54:19
343	3	5	46878	31000	15878	2024-08-25	4:40:31
344	38	11	77206	36000	41206	2022-08-07	14:44:58
345	8	6	78292	77000	1292	2023-05-04	10:36:46
346	2	7	87268	87000	268	2024-04-09	20:10:23
347	32	4	89034	89000	34	2024-08-04	2:42:01
348	36	11	71664	900	70764	2019-03-20	7:22:37
349	9	4	10034	10000	34	2024-07-24	2:01:43
350	6	6	34604	5000	29604	2023-11-29	8:59:40
351	32	8	76345	76000	345	2024-08-15	15:31:33
352	21	7	104427	48000	56427	2020-02-08	8:55:42
353	3	14	139945	92000	47945	2024-08-09	19:24:15
354	37	13	144423	91000	53423	2024-08-09	9:51:08
355	20	4	14531	10000	4531	2023-01-10	9:18:09
356	30	12	23309	3000	20309	2021-09-24	16:46:50
357	31	10	135376	54000	81376	2019-09-20	23:24:40
358	20	2	98726	35000	63726	2020-09-02	17:08:19
359	7	4	25135	25000	135	2023-04-23	16:08:39
360	39	13	49057	49000	57	2023-07-05	2:41:41
361	18	1	66010	36000	30010	2021-05-26	17:05:35
362	22	14	44045	44000	45	2021-06-08	7:25:45
363	11	15	10457	10000	457	2024-08-23	15:57:05
364	2	6	75807	25000	50807	2019-05-05	12:52:32
365	23	11	80171	20000	60171	2023-03-13	3:01:58
366	13	11	9134	7000	2134	2019-05-12	8:19:41
367	32	11	121971	59000	62971	2024-08-16	11:08:11
368	27	4	22047	22000	47	2023-07-01	18:43:00
369	17	3	5944	5000	944	2020-01-07	5:05:01
370	22	13	29014	9000	20014	2022-02-17	23:04:07
371	7	15	95465	95000	465	2020-11-12	3:15:53
372	1	16	97003	97000	3	2021-06-19	3:52:26
373	23	11	132672	99000	33672	2023-04-03	2:22:23
374	26	1	94045	94000	45	2019-04-06	18:23:26
375	8	12	94047	94000	47	2020-02-23	18:40:27
376	7	13	89045	89000	45	2021-04-05	4:47:28
377	30	14	51456	51000	456	2020-03-04	1:00:28
378	9	17	1135	900	235	2020-01-03	3:38:45
379	36	7	14046	14000	46	2022-08-05	7:45:47
380	9	12	70456	70000	456	2024-06-19	20:49:33
381	15	2	67025	67000	25	2022-12-22	1:24:10
382	28	7	37997	12000	25997	2022-10-10	0:31:36
383	13	8	84264	80000	4264	2022-12-07	5:04:25
384	4	5	152645	91000	61645	2022-05-18	10:28:14
385	11	5	96593	95000	1593	2024-08-11	15:34:26
386	38	1	77078	77000	78	2021-06-01	20:34:10
387	38	6	48531	48000	531	2020-06-17	12:06:53
388	32	14	35002	35000	2	2024-08-12	23:04:04
389	37	5	19325	19000	325	2024-08-03	9:41:08
390	12	14	72799	25000	47799	2022-02-09	15:36:57
391	39	5	36135	36000	135	2021-12-16	8:05:08
392	7	17	77056	22000	55056	2019-02-13	15:39:42
393	37	16	58235	58000	235	2024-08-20	0:04:20
394	37	2	170248	88000	82248	2024-08-14	12:43:46
395	29	6	88711	72000	16711	2023-02-06	3:50:30
396	18	13	20789	13000	7789	2022-12-26	23:18:41
397	27	10	129656	74000	55656	2022-06-01	19:48:29
398	8	10	65597	19000	46597	2023-11-28	9:03:58
399	1	4	80453	80000	453	2021-11-02	9:00:20
400	1	11	42456	42000	456	2023-08-01	16:54:15
