no	ono	date	uno	mno	quantity	togo	options	optionqty	price	complete
55	00504055	2024-08-01	46	79	3	0			8400	1
56	00503056	2024-08-01	46	53	1	0	2	1	6400	1
57	00517057	2024-08-01	59	128	2	0	6	2	10200	1
58	00528058	2024-08-01	60	138	3	0			11700	1
59	00535059	2024-08-01	76	96	1	0	6	1	8900	1
60	00542060	2024-08-01	89	31	1	0	6	1	5900	1
61	00553061	2024-08-01	93	59	2	0			13000	1
62	00565062	2024-08-01	95	101	2	0	1,6,8	1,1,1	11500	1
63	00577063	2024-08-01	99	129	3	0			12300	1
64	00586064	2024-08-01	103	119	2	0	6,7	2,2	18800	1
65	00595065	2024-08-01	109	105	2	0	8	2	12600	1
66	00606066	2024-08-01	127	120	2	0	6	2	17800	1
67	00618067	2024-08-01	32	144	3	0	6	2	13700	1
68	00624068	2024-08-01	56	78	3	0			9000	1
69	00636069	2024-08-01	65	116	3	0	6	2	17600	1
70	00642070	2024-08-01	68	31	1	1	6	1	5800	1
71	00651071	2024-08-01	69	4	3	1	1,2,3	1,1,2	10700	1
72	00662072	2024-08-01	84	42	1	1	6	1	5800	1
73	00676073	2024-08-01	105	118	1	1	7	1	7700	1
74	00683074	2024-08-01	129	61	3	1	6	2	18200	1
75	00695075	2024-08-01	145	100	1	1	1,6,7	1,1,1	8500	1
76	00705076	2024-08-01	149	108	1	1	1,7	1,1	5700	1
77	00715077	2024-08-01	17	113	1	1	1	1	6900	1
78	00724078	2024-08-01	37	80	1	1			2900	1
79	00738079	2024-08-01	69	137	1	1	6	1	4800	1
80	00748080	2024-08-01	77	136	3	1	6	2	13400	1
81	00757081	2024-08-01	91	135	3	1	6	2	14000	1
82	00761082	2024-08-01	94	8	1	0			4500	1
83	00774083	2024-08-01	104	86	3	0			7500	1
84	00787084	2024-08-01	1	127	3	0			12300	1
85	00797085	2024-08-01	7	135	1	0	6	1	5100	1
86	00802086	2024-08-01	17	40	1	0	6	1	5500	1
87	00812087	2024-08-01	22	38	2	0			7800	1
88	00826088	2024-08-01	38	122	3	0	6,7	1,1	23400	1
89	00835089	2024-08-01	46	101	2	0	1	2	10000	1
90	00841090	2024-08-01	50	28	2	0			8000	1
91	00854091	2024-08-01	62	91	2	0			4800	1
92	00866092	2024-08-01	67	119	3	0	6,7	1,1	25200	1
93	00872093	2024-08-01	78	33	2	0	6	2	11800	1
94	00881094	2024-08-01	86	20	1	0	1,3,6	1,1,1	5700	1
95	00893095	2024-08-01	90	57	1	0			4900	1
96	00904096	2024-08-01	103	92	1	0			2100	1
97	00913097	2024-08-01	111	50	2	0			13800	1
98	00921098	2024-08-01	119	16	3	0	2	1	9500	1
99	00934099	2024-08-01	130	71	2	0			6400	1
100	00944100	2024-08-01	137	84	1	0			2300	1
101	00957001	2024-08-02	4	134	3	0			12300	1
102	00961002	2024-08-02	15	20	2	0	1,3	2,2	9400	1
103	00974003	2024-08-02	35	87	2	0			7000	1
104	00985004	2024-08-02	39	96	2	0	6	2	17800	1
105	00994005	2024-08-02	51	89	3	0			8100	1
106	01002006	2024-08-02	52	35	3	0	6	2	18500	1
107	01016007	2024-08-02	67	120	3	0	6,7	2,2	26700	1
108	01022008	2024-08-02	95	45	2	0			9800	1
109	01034009	2024-08-02	107	84	2	0			4600	1
110	01047010	2024-08-02	112	135	2	0	6	1	9200	1
111	01057011	2024-08-02	122	134	3	0			12300	1
112	01062012	2024-08-02	123	43	1	0	6	1	4900	1
113	01071013	2024-08-02	126	13	2	0	1,6,7	2,2,1	12100	1
114	01081014	2024-08-02	128	20	3	0	6	1	12100	1
115	01096015	2024-08-02	2	124	2	0	6,7	2,2	17200	1
116	01091016	2024-08-02	2	4	3	0	1,2,3	1,2,1	11000	1
117	01108017	2024-08-02	18	138	3	0			11700	1
118	01111018	2024-08-02	23	13	1	0	7	1	4800	1
119	01122019	2024-08-02	41	34	1	0	6	1	6500	1
120	01136020	2024-08-02	73	125	3	0	6,7	2,1	23500	1
121	01147021	2024-08-02	80	126	1	0			4100	1
122	01151022	2024-08-02	83	3	3	0	6	1	8500	1
123	01153023	2024-08-02	83	67	1	0	6	1	8500	1
124	01163024	2024-08-02	92	62	2	0	6	1	14800	1
125	01173025	2024-08-02	94	62	1	0	6	1	7900	1
126	01172026	2024-08-02	94	32	2	0	6	1	8800	1
127	01188027	2024-08-02	107	139	3	0	6	1	12700	1
128	01197028	2024-08-02	130	126	3	0	6	2	14300	1
129	01202029	2024-08-02	9	39	2	0	6	1	10000	1
130	01212030	2024-08-02	15	36	3	0	6	2	13700	1
131	01228031	2024-08-02	54	143	3	0	6	1	12700	1
132	01235032	2024-08-02	64	104	1	0	6	1	8000	1
133	01246033	2024-08-02	72	120	2	0	6,7	1,2	17800	1
134	01251034	2024-08-02	79	24	2	0	3	2	8200	1
135	01265035	2024-08-02	82	102	3	0	6,8	1,1	23300	1
136	01273036	2024-08-02	86	65	2	0			15000	1
137	01278037	2024-08-02	86	136	3	0			11700	1
138	01282038	2024-08-02	115	37	2	0			7800	1
139	01296039	2024-08-02	139	121	3	0			22800	1
140	01307040	2024-08-02	146	126	2	0	6	1	9200	1
141	01315041	2024-08-02	149	103	2	0	1,6,8	2,1,2	12400	1
142	01323042	2024-08-02	15	56	2	0	6	1	12200	1
143	01331043	2024-08-02	36	17	3	0	2,3	2,2	11600	1
144	01345044	2024-08-02	39	100	2	0	1,6,7	1,1,2	15700	1
145	01357045	2024-08-02	56	130	3	0	6	2	14300	1
146	01362046	2024-08-02	63	41	1	0			4900	1
147	01372047	2024-08-02	72	45	1	0			4900	1
148	01387048	2024-08-02	76	128	2	0			8200	1
149	01385049	2024-08-02	76	100	1	0	1,6	1,1	8100	1
150	01392050	2024-08-02	82	34	3	0			16500	1
151	01404051	2024-08-02	103	75	1	0			2700	1
152	01418052	2024-08-02	105	136	3	0			11700	1
153	01421053	2024-08-02	116	22	3	0	6,7	1,1	11700	1
154	01433054	2024-08-02	134	67	3	0	6	2	24500	1
155	01448055	2024-08-02	140	139	3	0			11700	1
156	01451056	2024-08-02	143	14	1	0	6	1	5500	1
157	01467057	2024-08-02	47	135	1	0			4100	1
158	01473058	2024-08-02	59	51	2	0	6,7	2,1	16300	1
159	01486059	2024-08-02	73	121	1	0			7600	1
160	01493060	2024-08-02	86	53	2	0	2,7	2,1	13300	1
161	01508061	2024-08-02	102	142	3	0	6	2	13700	1
162	01513062	2024-08-02	104	49	2	0	2,7	1,1	12800	1
163	01527063	2024-08-02	119	132	2	0	6	1	9200	1
164	01532064	2024-08-02	145	31	1	0			4900	1
165	01542065	2024-08-02	148	34	2	0	6	2	13000	1
166	01552066	2024-08-02	28	43	2	0	6	2	9800	1
167	01563067	2024-08-02	40	57	3	0	6	1	15700	1
168	01574068	2024-08-02	44	79	2	0			5600	1
169	01584069	2024-08-02	57	86	2	0			5000	1
170	01592070	2024-08-02	100	45	1	0	6	1	5900	1
171	01604071	2024-08-02	135	85	3	0			10500	1
172	01613072	2024-08-02	141	49	3	0	7	2	18700	1
173	01625073	2024-08-02	147	102	3	0	1,6	2,2	24300	1
174	01636074	2024-08-02	1	118	2	0			14600	1
175	01646075	2024-08-02	4	123	1	0	7	1	7800	1
176	01656076	2024-08-02	14	118	3	0	6,7	1,1	23400	1
177	01668077	2024-08-02	23	143	2	0	6	1	8800	1
178	01676078	2024-08-02	48	123	3	0	6,7	1,2	23900	1
179	01683079	2024-08-02	60	47	3	0	2,6	2,1	18500	1
180	01695080	2024-08-02	72	103	2	0	1,6,8	1,1,2	11900	1
181	01704081	2024-08-02	77	94	3	0			9300	1
182	01716082	2024-08-02	85	119	1	0	6,7	1,1	9400	1
183	01724083	2024-08-02	96	91	1	0			2400	1
184	01734084	2024-08-02	97	88	3	0			8100	1
185	01746085	2024-08-02	113	116	1	0	6	1	6200	1
186	01752086	2024-08-02	4	37	2	0	6	2	9800	1
187	01768087	2024-08-02	27	136	2	0			7800	1
188	01773088	2024-08-02	37	66	1	0			7500	1
189	01783089	2024-08-02	40	59	2	0	6	1	14000	1
190	01791090	2024-08-02	53	13	3	0	1,7	1,1	13900	1
191	01795091	2024-08-02	53	115	3	0	6	1	22600	1
192	01805092	2024-08-02	60	113	1	0	1,3,6	1,1,1	8500	1
193	01811093	2024-08-02	84	12	3	0	1,6	1,2	15400	1
194	01821094	2024-08-02	99	26	1	0	2,7	1,1	4000	1
195	01838095	2024-08-02	146	144	2	0	6	1	8800	1
196	01844001	2024-08-03	6	95	2	0			6200	1
197	01855002	2024-08-03	7	111	3	0	1,6	1,2	20500	1
198	01866003	2024-08-03	40	120	2	0	6,7	2,2	18800	1
199	01871004	2024-08-03	43	23	3	0			10800	1
200	01885005	2024-08-03	45	115	1	0	1,3,6	1,1,1	9200	1
201	01891006	2024-08-03	52	24	2	0			7200	1
202	01898007	2024-08-03	52	144	2	0			7800	1
203	01907008	2024-08-03	56	128	3	0	6	1	13300	1
204	01912009	2024-08-03	57	34	3	0	6	1	17500	1
205	01927010	2024-08-03	60	132	3	0			12300	1
206	01931011	2024-08-03	71	21	3	0	3	1	10700	1
207	01944012	2024-08-03	91	71	3	0			9600	1
208	01956013	2024-08-03	112	118	3	0	7	2	22900	1
209	01961014	2024-08-03	136	29	1	0	1,3	1,1	5200	1
210	01971015	2024-08-03	24	10	2	0	1,3,7	2,1,2	10100	1
211	01988016	2024-08-03	28	137	1	0	6	1	4900	1
212	01994017	2024-08-03	52	77	1	0			6500	1
213	02005018	2024-08-03	65	111	1	0	1	1	6500	1
214	02013019	2024-08-03	82	69	1	0			6900	1
215	02026020	2024-08-03	84	116	2	0			10400	1
216	02032021	2024-08-03	102	41	2	0	6	1	10800	1
217	02048022	2024-08-03	115	144	2	0	6	2	9800	1
218	02057023	2024-08-03	132	132	3	0	6	2	14300	1
219	02068024	2024-08-03	7	136	3	0	6	2	13700	1
220	02076025	2024-08-03	28	124	2	0	6,7	2,2	17200	1
221	02083026	2024-08-03	63	48	1	0	2,7	1,1	6900	1
222	02098027	2024-08-03	80	140	2	0			7800	1
223	02095028	2024-08-03	80	101	1	0	1,6,8	1,1,1	7000	1
224	02107029	2024-08-03	82	126	2	0	6	1	9200	1
225	02117030	2024-08-03	107	135	1	0	6	1	5100	1
226	02125031	2024-08-03	108	110	3	0	1,6,8	1,1,2	23000	1
227	02133032	2024-08-03	125	57	2	0			9800	1
228	02143033	2024-08-03	142	63	3	0	6	2	16700	1
229	02151034	2024-08-03	8	4	2	0	2,3	2,1	7500	1
230	02164035	2024-08-03	21	91	1	0			2400	1
231	02178036	2024-08-03	69	139	3	0	6	1	12700	1
232	02181037	2024-08-03	93	2	2	0	2,7	1,2	4500	1
233	02198038	2024-08-03	101	141	1	0	6	1	4900	1
234	02205039	2024-08-03	110	111	1	0	6	1	7000	1
235	02216040	2024-08-03	112	116	1	0	6	1	6200	1
236	02226041	2024-08-03	113	117	3	0	6	1	21100	1
237	02235042	2024-08-03	123	108	1	0	1,6	1,1	6300	1
238	02246043	2024-08-03	125	125	2	0	7	2	15000	1
239	02255044	2024-08-03	126	106	3	0	6,8	2,2	19900	1
240	02264045	2024-08-03	137	94	3	0			9300	1
241	02275046	2024-08-03	142	107	3	0	6,7	2,2	16500	1
242	02282047	2024-08-03	20	34	1	0	6	1	6500	1
243	02294048	2024-08-03	22	81	3	0			9000	1
244	02305049	2024-08-03	52	108	1	0	1,7	1,1	5800	1
245	02318050	2024-08-03	59	145	1	0	6	1	4900	1
246	02321051	2024-08-03	87	27	2	0	1,7,8	1,2,2	9700	1
247	02331052	2024-08-03	91	30	2	0	2,6	1,2	10100	1
248	02342053	2024-08-03	119	34	1	0	6	1	6500	1
249	02355054	2024-08-03	141	103	3	0	6,8	1,2	15600	1
250	02362055	2024-08-03	25	44	3	0			11700	1
251	02372056	2024-08-03	33	35	3	0	6	2	18500	1
252	02387057	2024-08-03	68	130	2	0			8200	1
253	02397058	2024-08-03	80	129	1	0			4100	1
254	02402059	2024-08-03	108	34	3	0	6	1	17500	1
255	02404060	2024-08-03	108	82	1	0			2300	1
256	02412061	2024-08-03	118	39	3	0	6	2	15500	1
257	02425062	2024-08-03	121	101	1	0	1,8	1,1	6000	1
258	02436063	2024-08-03	132	117	3	0	6,7	2,1	22600	1
259	02446064	2024-08-03	1	122	1	0	6,7	1,1	8800	1
260	02452065	2024-08-03	47	45	2	0	6	1	10800	1
261	02462066	2024-08-03	58	35	1	0	6	1	6500	1
262	02475067	2024-08-03	62	108	2	0	1,6	2,1	11600	1
263	02487068	2024-08-03	82	131	3	0	6	1	13300	1
264	02492069	2024-08-03	100	33	1	0	6	1	5900	1
265	02505070	2024-08-03	104	113	2	0	1,3,6	2,2,2	17000	1
266	02513071	2024-08-03	139	65	1	0	6	1	8500	1
267	02525072	2024-08-03	140	112	3	0	1	2	19000	1
268	02535073	2024-08-03	44	99	1	0	1	1	8300	1
269	02544074	2024-08-03	53	95	1	0			3100	1
270	02557075	2024-08-03	55	131	2	0	6	1	9200	1
271	02565076	2024-08-03	66	107	1	0	1,6	1,1	6000	1
272	02574077	2024-08-03	77	94	3	0			9300	1
273	02587078	2024-08-03	83	134	2	0	6	2	10200	1
274	02595079	2024-08-03	111	105	3	0	1,6,8	1,2,1	19400	1
275	02606080	2024-08-03	128	124	3	0	7	1	21800	1
276	02616081	2024-08-03	145	118	1	0	6,7	1,1	8800	1
277	02621001	2024-08-04	1	2	3	0	1,2,7	1,2,2	7000	1
278	02633002	2024-08-04	4	68	1	0			7500	1
279	02641003	2024-08-04	28	10	3	0	1,7	1,2	12900	1
280	02657004	2024-08-04	55	129	3	0			12300	1
281	02658005	2024-08-04	55	140	2	0	6	2	9800	1
282	02668006	2024-08-04	59	144	1	0			3900	1
283	02674007	2024-08-04	77	92	3	0			6300	1
284	02683008	2024-08-04	97	49	1	0	2,7	1,1	6900	1
285	02697009	2024-08-04	102	132	2	0			8200	1
286	02708010	2024-08-04	104	145	1	0	6	1	4900	1
287	02715011	2024-08-04	109	109	3	0	6,8	1,1	17300	1
288	02726012	2024-08-04	118	119	1	0	7	1	8400	1
289	02734013	2024-08-04	125	94	1	0			3100	1
290	02746014	2024-08-04	16	119	3	0	7	2	24700	1
291	02754015	2024-08-04	36	79	1	0			2800	1
292	02762016	2024-08-04	46	45	3	0	6	2	16700	1
293	02771017	2024-08-04	65	19	1	0	1,6	1,1	5200	1
294	02784018	2024-08-04	70	88	2	0			5400	1
295	02792019	2024-08-04	73	35	3	0	6	2	18500	1
296	02802020	2024-08-04	84	38	3	0	6	2	13700	1
297	02807021	2024-08-04	84	131	3	0	6	1	13300	1
298	02812022	2024-08-04	102	32	1	0			3900	1
299	02824023	2024-08-04	103	84	2	0			4600	1
300	02835024	2024-08-04	118	109	1	0	1,8	1,1	6600	1
301	02847025	2024-08-04	120	133	2	0	6	1	9200	1
302	02853026	2024-08-04	28	61	3	0	6	2	18500	1
303	02864027	2024-08-04	43	95	3	0			9300	1
304	02875028	2024-08-04	45	111	3	0	1,6	1,2	20500	1
305	02882029	2024-08-04	63	35	1	0	6	1	6500	1
306	02893030	2024-08-04	71	48	3	0	2,7	1,2	19200	1
307	02898031	2024-08-04	71	140	1	0			3900	1
308	02904032	2024-08-04	75	85	3	0			10500	1
309	02916033	2024-08-04	79	122	2	0	6,7	2,1	17100	1
310	02921034	2024-08-04	87	23	1	0			3600	1
311	02932035	2024-08-04	91	40	3	0			13500	1
312	02943036	2024-08-04	97	48	1	0	2,7	1,1	6900	1
313	02957037	2024-08-04	127	128	3	0			12300	1
314	02961038	2024-08-04	137	20	1	0	1	1	4200	1
315	02978039	2024-08-04	138	139	2	0	6	1	8800	1
316	02981040	2024-08-04	6	29	3	0	3	2	13600	1
317	02992041	2024-08-04	7	45	2	0	6	2	11800	1
318	03002042	2024-08-04	23	39	2	0			9000	1
319	03013043	2024-08-04	48	48	1	0	2,7	1,1	6900	1
320	03026044	2024-08-04	101	116	1	0	6,7	1,1	6700	1
321	03036045	2024-08-04	106	123	1	0			7300	1
322	03044046	2024-08-04	111	74	3	0			11100	1
323	03056047	2024-08-04	113	120	2	0	6	2	17800	1
324	03067048	2024-08-04	137	133	2	0			8200	1
325	03071049	2024-08-04	48	25	3	0	1,2,3	2,2,2	13500	1
326	03087050	2024-08-04	52	128	1	0	6	1	5100	1
327	03094051	2024-08-04	55	86	1	0			2500	1
328	03102052	2024-08-04	65	41	3	0	6	2	16700	1
329	03113053	2024-08-04	89	55	3	0	6	2	19700	1
330	03125054	2024-08-04	91	111	2	0	1,6	1,2	14500	1
331	03135055	2024-08-04	99	96	2	0	6,8	1,1	17800	1
332	03143056	2024-08-04	142	58	1	0	6	1	7900	1
333	03147057	2024-08-04	142	129	2	0			8200	1
334	03156058	2024-08-04	31	123	1	0			7300	1
335	03166059	2024-08-04	37	125	2	0	7	2	15000	1
336	03172060	2024-08-04	50	33	1	0	6	1	5900	1
337	03182061	2024-08-04	57	37	3	0	6	2	13700	1
338	03196062	2024-08-04	94	122	1	0	7	1	7800	1
339	03207063	2024-08-04	109	129	3	0			12300	1
340	03215064	2024-08-04	122	96	1	0	1	1	8400	1
341	03224065	2024-08-04	129	72	1	0			3200	1
342	03232066	2024-08-04	131	38	2	0	6	1	8800	1
343	03242067	2024-08-04	136	33	3	0	6	2	16700	1
344	03257068	2024-08-04	15	134	2	0	6	2	10200	1
345	03267069	2024-08-04	16	135	3	0	6	1	13300	1
346	03276070	2024-08-04	19	122	3	0	6,7	2,1	24400	1
347	03286071	2024-08-04	65	116	2	0			10400	1
348	03298072	2024-08-04	73	145	3	0	6	1	12700	1
349	03302073	2024-08-04	78	35	1	0	6	1	6500	1
350	03315074	2024-08-04	79	105	2	0	1,6,8	1,2,1	14100	1
351	03328075	2024-08-04	80	144	1	0	6	1	4900	1
352	03333076	2024-08-04	100	49	2	0	2,7	2,2	13800	1
353	03343077	2024-08-04	101	46	1	0	6,7	1,1	7400	1
354	03353078	2024-08-04	117	68	3	0	6	2	24500	1
355	03364079	2024-08-04	123	80	1	0			3000	1
356	03375080	2024-08-04	125	105	3	0	8	1	16900	1
357	03381081	2024-08-04	143	10	1	0	3,7	1,1	4800	1
358	03398082	2024-08-04	14	141	1	0	6	1	4900	1
359	03402083	2024-08-04	22	44	1	0	6	1	4900	1
360	03417084	2024-08-04	45	134	1	0	6	1	5100	1
361	03427085	2024-08-04	46	126	3	0	6	2	14300	1
362	03433086	2024-08-04	47	49	1	0	2,7	1,1	6900	1
363	03446087	2024-08-04	53	117	3	0	7	1	20600	1
364	03456088	2024-08-04	64	121	3	0	7	1	23300	1
365	03467089	2024-08-04	78	131	3	0			12300	1
366	03478090	2024-08-04	79	141	3	0			11700	1
367	03481091	2024-08-04	89	15	1	0	1,2,6	1,1,1	5500	1
368	03492092	2024-08-04	98	34	3	0	6	2	18500	1
369	03504093	2024-08-04	101	88	3	0			8100	1
370	03514094	2024-08-04	124	90	1	0			2400	1
371	03523095	2024-08-04	148	51	3	0	6	1	21700	1
372	03532001	2024-08-05	6	40	1	0	6	1	5500	1
373	03546002	2024-08-05	11	121	2	0	6,7	2,2	18200	1
374	03541003	2024-08-05	11	14	1	0	1,6,7	1,1,1	6500	1
375	03552004	2024-08-05	34	36	1	0	6	1	4900	1
376	03563005	2024-08-05	36	59	1	0	6	1	7500	1
377	03571006	2024-08-05	80	10	3	0	1,3,7	2,2,1	13900	1
378	03581007	2024-08-05	96	30	2	0	1,6	1,2	10100	1
379	03596008	2024-08-05	111	118	2	0	6,7	1,2	16600	1
380	03592009	2024-08-05	111	44	1	0			3900	1
381	03608010	2024-08-05	133	139	2	0	6	1	8800	1
382	03617011	2024-08-05	136	132	1	0	6	1	5100	1
383	03612012	2024-08-05	136	40	3	0	6	1	14500	1
384	03624013	2024-08-05	139	73	2	0			7000	1
385	03623014	2024-08-05	139	63	1	0	6	1	5900	1
386	03632015	2024-08-05	2	45	3	0	6	1	15700	1
387	03645016	2024-08-05	6	110	1	0	1,8	1,1	8000	1
388	03657017	2024-08-05	13	135	3	0			12300	1
389	03662018	2024-08-05	32	44	1	0			3900	1
390	03672019	2024-08-05	37	32	1	0	6	1	4900	1
391	03685020	2024-08-05	41	98	2	0	1,6,8	1,1,2	12500	1
392	03694021	2024-08-05	74	83	3	0			6900	1
393	03707022	2024-08-05	77	132	2	0			8200	1
394	03716023	2024-08-05	93	119	3	0	7	2	24700	1
395	03728024	2024-08-05	102	137	2	0	6	2	9800	1
396	03738025	2024-08-05	104	138	3	0			11700	1
397	03743026	2024-08-05	105	69	3	0	6	1	21700	1
398	03752027	2024-08-05	123	33	3	0	6	2	16700	1
399	03767028	2024-08-05	128	128	2	0	6	1	9200	1
400	03777029	2024-08-05	129	128	2	0			8200	1
401	03781030	2024-08-05	135	20	2	0	3,6	1,2	9900	1
402	03794031	2024-08-05	6	94	2	0			6200	1
403	03801032	2024-08-05	20	18	2	0	2,3,6	2,2,1	9000	1
404	03816033	2024-08-05	30	120	1	0	6	1	8900	1
405	03823034	2024-08-05	31	67	1	0	6	1	8500	1
406	03837035	2024-08-05	39	129	3	0	6	1	13300	1
407	03846036	2024-08-05	57	123	3	0	7	2	22900	1
408	03852037	2024-08-05	66	44	3	0	6	1	12700	1
409	03862038	2024-08-05	97	34	1	0	6	1	6500	1
410	03872039	2024-08-05	99	35	3	0			16500	1
411	03882040	2024-08-05	128	42	2	0	6	2	11800	1
412	03897041	2024-08-05	140	133	3	0	6	1	13300	1
413	03906042	2024-08-05	14	119	3	0	6,7	2,2	26700	1
414	03917043	2024-08-05	16	126	2	0			8200	1
415	03922044	2024-08-05	21	36	2	0			7800	1
416	03932045	2024-08-05	33	45	1	0			4900	1
417	03945046	2024-08-05	42	102	2	0	1,6,8	1,1,2	17700	1
418	03953047	2024-08-05	49	49	2	0	7	1	12300	1
419	03965048	2024-08-05	58	96	2	0	1,6,8	1,2,2	20300	1
420	03977049	2024-08-05	62	129	3	0	6	1	13300	1
421	03981050	2024-08-05	63	19	3	0	1,6	2,1	13100	1
422	03992051	2024-08-05	68	41	1	0	6	1	5900	1
423	04001052	2024-08-05	69	28	2	0	1,2	1,1	9000	1
424	04013053	2024-08-05	106	57	2	0	6	1	10800	1
425	04027054	2024-08-05	107	126	1	0			4100	1
426	04037055	2024-08-05	121	129	3	0	6	2	14300	1
427	04042056	2024-08-05	131	43	1	0	6	1	4900	1
428	04055057	2024-08-05	150	106	1	0	1,8	1,1	6800	1
429	04065058	2024-08-05	27	100	3	0	1,7	1,1	20800	1
430	04073059	2024-08-05	33	51	2	0	6,7	1,1	15300	1
431	04084060	2024-08-05	47	94	2	0			6200	1
432	04098061	2024-08-05	50	142	1	0			3900	1
433	04101062	2024-08-05	56	30	2	0	1,2,6	1,2,2	11100	1
434	04116063	2024-08-05	64	119	1	0			7900	1
435	04125064	2024-08-05	69	98	3	0			13500	1
436	04136065	2024-08-05	85	124	2	0	6,7	1,1	15700	1
437	04146066	2024-08-05	102	125	2	0	7	1	14500	1
438	04156067	2024-08-05	133	117	3	0	7	1	20600	1
439	04163068	2024-08-05	148	51	2	0	6	2	15800	1
440	04171069	2024-08-05	17	19	1	0	1,6	1,1	5200	1
441	04184070	2024-08-05	30	78	1	0			3000	1
442	04192071	2024-08-05	51	37	2	0			7800	1
443	04204072	2024-08-05	95	71	3	0			9600	1
444	04212073	2024-08-05	117	44	2	0			7800	1
445	04228074	2024-08-05	128	142	2	0	6	2	9800	1
446	04231075	2024-08-05	145	15	3	0	2,6	2,2	13500	1
447	04247076	2024-08-05	17	126	1	0	6	1	5100	1
448	04256077	2024-08-05	39	117	2	0	6,7	2,1	15900	1
449	04263078	2024-08-05	56	52	3	0	6,7	2,1	23200	1
450	04274079	2024-08-05	88	88	1	0			2700	1
451	04282080	2024-08-05	104	38	1	0	6	1	4900	1
452	04293081	2024-08-05	107	67	1	0	6	1	8500	1
453	04308082	2024-08-05	110	142	1	0	6	1	4900	1
454	04311083	2024-08-05	111	28	1	0	1,2	1,1	5000	1
455	04325084	2024-08-05	126	115	2	0	1,3,6	2,2,1	17400	1
456	04335085	2024-08-05	145	108	2	0	7	2	10600	1
457	04344086	2024-08-05	7	85	2	0			7000	1
458	04354087	2024-08-05	13	85	1	0			3500	1
459	04362088	2024-08-05	16	44	1	0			3900	1
460	04376089	2024-08-05	54	120	2	0	6,7	2,2	18800	1
461	04384090	2024-08-05	65	92	2	0			4200	1
462	04393091	2024-08-05	82	65	1	0			7500	1
