mno	name	cno	price	opno	div
90	요구르트슈스틱	4	2400	10	3
91	초코슈스틱	4	2400	10	3
92	초콜릿칩쿠키	4	2100	10	3
93	마카다미아쿠키	4	2100	10	3
94	초코스모어쿠키	4	3100	10	3
95	말차스모어쿠키	4	3100	10	3
96	플레인요거트스무디	5	7900	1,6,8,10	2
97	쿨라임스무디	5	5900	1,6,8,10	2
98	깔라만시스무디	5	4500	1,6,8,10	2
99	성주참외스무디	5	7800	1,6,8,10	2
100	트로티팝핑스무디	5	6600	1,6,7,8,10	2
101	패션후르츠스무디	5	4500	1,6,8,10	2
102	망고패션스무디	5	7100	1,6,8,10	2
103	고구마스무디	5	4200	1,6,8,10	2
104	골드망고스무디	5	7000	1,6,8,10	2
105	딸기요거트스무디	5	5300	1,6,8,10	2
106	망고요거트스무디	5	5300	1,6,8,10	2
107	밀크쿠앤크스무디	5	4500	1,6,7,8,10	2
108	딸기쿠키스무디	5	4800	1,6,7,8,10	2
109	그린애플스무디	5	5100	1,6,8,10	2
110	초콜렛쿠키&크림스무디	5	6500	1,6,8,10	2
111	초코멜로블랙티스무디	5	6000	1,6,8,10	2
112	제주그린스무디	5	6000	1,6,8,10	2
113	밀크쉐이크	5	6500	1,3,6,8,9,10	2
114	바나나밀크쉐이크	5	6900	1,3,6,8,9,10	2
115	블루캔디밀크쉐이크	5	7200	1,3,6,8,7,9,10	2
116	에그슬라이스 샌드위치	6	5200	6,7,10	3
117	이탈리안비엠티썹픽 샌드위치	6	6700	6,7,10	3
118	로티세리바비큐치킨썹픽 샌드위치	6	7300	6,7,10	3
119	스테이크&치즈썹픽 샌드위치	6	7900	6,7,10	3
120	스파이시쉬림프 샌드위치	6	7900	6,7,10	3
121	쉬림프 샌드위치	6	7600	6,7,10	3
122	로티세리바비큐치킨 샌드위치	6	7300	6,7,10	3
123	K-바비큐 샌드위치	6	7300	6,7,10	3
124	써브웨이클럽 샌드위치	6	7100	6,7,10	3
125	치킨데리야끼 샌드위치	6	7000	6,7,10	3
126	생강차	7	4100	6	1
127	칡차	7	4100	6	1
128	보리차	7	4100	6	1
129	율무차	7	4100	6	1
130	결명자차	7	4100	6	1
131	대추차	7	4100	6	1
132	국화차	7	4100	6	1
133	오미자차	7	4100	6	1
134	쌍화차	7	4100	6	1
135	현미차	7	4100	6	1
136	블루베리파나코타	8	3900	6	2
137	소금우유아이스크림	8	3900	6	2
138	봉쥬르,마카롱	8	3900	6	2
139	망고탱고	8	3900	6	2
140	오레오쿠키앤크림	8	3900	6	2
141	초콜릿무스	8	3900	6	2
142	그린티	8	3900	6	2
143	아몬드봉봉	8	3900	6	2
144	민트초콜릿칩	8	3900	6	2
145	레인보우샤베트	8	3900	6	2
